,SchNet_true_ES1,SchNet_pred_ES1,PaiNN_true_ES1,PaiNN_pred_ES1,Equiformer_true_ES1,Equiformer_pred_ES1,SphereNet_true_ES1,SphereNet_pred_ES1,DimeNetPlusPlus_true_ES1,DimeNetPlusPlus_pred_ES1,DimeNet_true_ES1,DimeNet_pred_ES1
BCLWBRUTMJRYPH-COZROGHQSA-N,2.531,2.4792237,2.531,2.5017517,2.531,2.4404106,2.531,2.4682512,2.531,2.8729494,2.531,2.5540257
FYGOCLZYYVQTSS-UHFFFAOYSA-N,3.046,3.046676,3.046,2.2677975,3.046,2.9640388,3.046,2.6670482,3.046,2.8578637,3.046,2.75052
FJNWSHCNLPVFEA-UHFFFAOYSA-N,2.542,2.4516878,2.542,2.2511656,2.542,2.4134688,2.542,2.5360255,2.542,2.3999324,2.542,2.3529468
PZFMBFWMTIAVQH-UHFFFAOYSA-N,2.547,2.56781,2.547,2.5155933,2.547,2.4602063,2.547,2.4526885,2.547,2.4850454,2.547,2.4955814
FSJBQTILWSMTFV-OBBCGMSGSA-N,3.149,3.1425223,3.149,3.0482697,3.149,3.1941528,3.149,3.1664817,3.149,3.1688042,3.149,3.1723213
QHVWQHJODKWCRB-ZSNJKBEMSA-N,2.996,3.1564674,2.996,2.9376452,2.996,2.9457428,2.996,2.806152,2.996,2.9598114,2.996,2.9349234
WUTBCKJDSPDWTE-MYBYBSHWSA-N,2.91,2.4554844,2.91,2.2528405,2.91,2.5315328,2.91,2.5750408,2.91,2.3282213,2.91,2.5487895
APJHGXMMHRVHAH-QECGLCEKSA-N,2.915,2.9086545,2.915,2.7885444,2.915,2.9912488,2.915,2.7632816,2.915,3.0755568,2.915,3.1265204
CCPJZIZXUUTXGZ-PXCLLPEZSA-N,2.722,2.6986613,2.722,2.8602169,2.722,2.6387827,2.722,2.7083242,2.722,3.0249376,2.722,2.9753249
MPSPHIWMTOKFKV-UHFFFAOYSA-N,3.338,3.2253997,3.338,2.728593,3.338,3.1897752,3.338,3.0690365,3.338,3.3278167,3.338,3.1126711
LCGXGQCHZKKJON-ABLXPRLLSA-N,2.574,2.6761456,2.574,2.625389,2.574,2.6559367,2.574,2.5632646,2.574,2.9127283,2.574,3.1347883
VLAHXQKTXPUNTH-UHFFFAOYSA-N,3.031,2.5613031,3.031,2.6914356,3.031,2.3918426,3.031,2.899113,3.031,2.7944107,3.031,2.6177552
LIGPVPMVPAWLEZ-UHFFFAOYSA-N,3.062,2.9974158,3.062,2.8583534,3.062,2.9633381,3.062,2.7654402,3.062,3.0003085,3.062,2.8780453
MAOKNUWQNILYPQ-CXXRRZEYSA-N,2.541,2.7052128,2.541,2.6548233,2.541,2.5840044,2.541,2.5250964,2.541,2.4802399,2.541,2.5293844
RBRFEESCOKYINA-UHFFFAOYSA-N,3.227,2.6699626,3.227,2.64361,3.227,2.8719954,3.227,2.933308,3.227,3.087221,3.227,2.905274
WKMSGTSAOQKNAX-UHFFFAOYSA-N,2.408,2.483646,2.408,2.4090204,2.408,2.4900177,2.408,2.4458768,2.408,2.7903624,2.408,2.612877
OSWSLDXNHYJURJ-UHFFFAOYSA-N,2.828,2.8253627,2.828,2.659143,2.828,3.03033,2.828,2.9385827,2.828,2.9475965,2.828,2.9149284
FLKCHANLEMDKJC-UHFFFAOYSA-N,2.651,2.6472583,2.651,2.678712,2.651,2.6878874,2.651,2.5828946,2.651,2.855321,2.651,2.803209
WUINCAKAQBGXQK-QACTWMCZSA-N,3.078,3.064859,3.078,3.063566,3.078,3.1943033,3.078,2.9690683,3.078,3.1666129,3.078,3.1688163
JUCHSZLANXGVRX-UHFFFAOYSA-N,2.711,2.6460996,2.711,2.3422227,2.711,2.5346253,2.711,2.7079082,2.711,2.6421726,2.711,2.5416253
ZSQAHBHPAYDJBC-UHFFFAOYSA-N,2.809,2.772326,2.809,2.7019486,2.809,2.8324945,2.809,2.7140324,2.809,2.873479,2.809,2.8291821
SAFBBAWZWKHYOV-ZXZUVMJTSA-N,2.675,2.40397,2.675,2.3910093,2.675,2.4736075,2.675,2.5485592,2.675,2.4395378,2.675,2.5097106
PZCMEEAXOULNET-ZHAILYHJSA-N,2.919,2.7256393,2.919,2.6926389,2.919,2.8743532,2.919,2.6048703,2.919,3.2332394,2.919,3.130964
DJAJYMADXXEKSJ-UHFFFAOYSA-N,3.22,3.0362608,3.22,2.6694543,3.22,3.060471,3.22,3.2537925,3.22,3.2330842,3.22,2.9677558
AALUPDGSRATYFB-KCQOPNMNSA-N,2.574,2.7418132,2.574,2.5838082,2.574,2.5443501,2.574,2.612765,2.574,2.6134422,2.574,2.6322756
VNNWFOAAWQINMM-UHFFFAOYSA-N,2.882,3.0912051,2.882,3.0226831,2.882,2.7674325,2.882,2.8829997,2.882,3.1355765,2.882,2.9868915
RQKZKZIECHIPBP-UHFFFAOYSA-N,3.358,2.566983,3.358,2.3437936,3.358,2.70881,3.358,2.7585835,3.358,2.9566393,3.358,2.702159
YLIRFFCNTAVXLM-UHFFFAOYSA-N,2.477,2.60391,2.477,2.4500136,2.477,2.4404233,2.477,2.466715,2.477,2.5656235,2.477,2.5278318
IOCGMPVZIRNJLI-CQJSDYARSA-N,2.712,2.8647566,2.712,2.9508452,2.712,3.0579114,2.712,2.9181025,2.712,3.2616537,2.712,3.2535205
BBMXYHCDJBBYHZ-UHFFFAOYSA-N,2.671,2.6741807,2.671,2.2708535,2.671,2.573932,2.671,2.4576888,2.671,2.5242028,2.671,2.5052662
YKJWMPALAJSXNY-UHFFFAOYSA-N,2.49,2.3748636,2.49,2.330602,2.49,2.3891928,2.49,2.4194233,2.49,2.327502,2.49,2.3663287
LPQGEUPDDVCNTR-KSYBGPICSA-N,2.442,2.772792,2.442,2.830403,2.442,2.8209515,2.442,2.7338233,2.442,3.5054657,2.442,4.1968045
WASGDIGPLWPICY-UHFFFAOYSA-N,3.294,2.8897572,3.294,2.6506972,3.294,2.794797,3.294,3.1281533,3.294,3.152903,3.294,2.7990825
LZRWIXRCUYLZKW-UHFFFAOYSA-N,2.869,2.8179743,2.869,2.482283,2.869,3.1249487,2.869,2.7722583,2.869,3.0362728,2.869,2.920635
GYEYEDABQOCWDZ-HQUYMWSHSA-N,2.464,2.3798494,2.464,2.3118105,2.464,2.4228985,2.464,2.3233867,2.464,2.531533,2.464,2.7387414
WOCCMIIRBYVBAV-UHFFFAOYSA-N,2.481,2.74962,2.481,2.730768,2.481,2.6474962,2.481,2.6391191,2.481,2.4831977,2.481,2.7221925
CDWDTAZZRMZHCD-KBINDDFLSA-N,2.853,3.06531,2.853,2.9048865,2.853,3.1911187,2.853,3.074959,2.853,3.107575,2.853,3.0855782
GCFAARGZCFMABC-XTUYAFBASA-N,2.918,3.0610516,2.918,3.0887258,2.918,3.0252275,2.918,3.0722198,2.918,3.2425797,2.918,3.3889923
KPRKWQABTMICGT-IPMWUJFMSA-N,2.79,2.6504982,2.79,2.7300518,2.79,2.7903442,2.79,2.599925,2.79,2.7154102,2.79,2.7021382
VRTQJYXBKONGHE-CATFIOGKSA-N,3.106,3.042083,3.106,3.0026822,3.106,3.1107948,3.106,3.1490407,3.106,2.9676905,3.106,3.0497863
BDVFBFXJZWQRHF-DSOJMZEYSA-N,2.667,3.0260735,2.667,2.473857,2.667,3.1288567,2.667,3.1524045,2.667,3.0419843,2.667,2.9792602
UVXYAJMDUJSDGX-RVYHGGAWSA-N,2.82,3.2350187,2.82,3.1066954,2.82,3.2100883,2.82,3.0972266,2.82,3.6162415,2.82,3.9064
RHYONKCNSJRQRY-BYAFOJQSSA-N,2.725,2.7811882,2.725,2.6971526,2.725,2.7769,2.725,2.7693472,2.725,2.848586,2.725,2.7362263
OSTDNIMVTYPDHQ-CDKYPKJRSA-N,2.473,2.5355003,2.473,2.5859077,2.473,2.5417929,2.473,2.6430547,2.473,2.6142833,2.473,2.6806777
UVDXAJCLOIFAOZ-ZXNUEKJBSA-N,2.781,2.9704275,2.781,3.055873,2.781,3.2268429,2.781,3.1692634,2.781,3.3346517,2.781,3.6629276
ZXGNAEDIYVYQIW-UHFFFAOYSA-N,2.335,2.4775434,2.335,2.112146,2.335,2.3627071,2.335,2.3745527,2.335,2.2963102,2.335,2.1551824
YBMOAJPLWQRBAI-UTXUFXGVSA-N,2.888,2.9417942,2.888,2.948941,2.888,2.928209,2.888,2.91115,2.888,2.8642893,2.888,3.0131648
UUHFXBANRKBDAP-MNDYBZJGSA-N,3.274,3.0457683,3.274,3.126271,3.274,3.1977549,3.274,3.1840358,3.274,3.0687299,3.274,3.0405564
HQBQBMUWOCHRSI-UHFFFAOYSA-N,2.579,2.5392346,2.579,2.5543385,2.579,2.4559774,2.579,2.5410237,2.579,2.5689204,2.579,2.5257573
MBWKMCHAJIFAKV-UHFFFAOYSA-N,3.288,2.9869432,3.288,2.5003827,3.288,3.048552,3.288,3.1790972,3.288,3.2548792,3.288,2.9763024
UHJXSCKXDFAHHL-OEPDXVHDSA-N,3.118,3.1538281,3.118,2.8640926,3.118,3.14646,3.118,3.0640233,3.118,3.1340637,3.118,3.0645971
SNGJCXGPTWRFDL-UHFFFAOYSA-N,3.363,3.0249588,3.363,2.3732123,3.363,3.1689801,3.363,3.1247501,3.363,3.095157,3.363,2.8607342
ZLGGFLQSBDVZFE-UHFFFAOYSA-N,3.717,3.3573,3.717,2.5215344,3.717,3.5091963,3.717,3.3417993,3.717,3.7103424,3.717,3.3662012
UHDVSXPFIUUFPF-UHFFFAOYSA-N,3.39,2.8013935,3.39,2.4305515,3.39,2.9210422,3.39,2.9682348,3.39,2.9491727,3.39,2.8338845
BWLKEUDRKSBFHK-UHFFFAOYSA-N,2.602,2.9088478,2.602,2.7855883,2.602,2.6777318,2.602,2.690479,2.602,2.6611257,2.602,2.7443175
PBDVCGYAJSVRJA-UHFFFAOYSA-N,3.481,3.272606,3.481,3.180506,3.481,3.5387602,3.481,3.3937092,3.481,3.8493633,3.481,3.2908792
KRZRJARPPUOEFA-MCMFKZJSSA-N,2.435,2.5337026,2.435,2.8207376,2.435,2.789015,2.435,2.7868483,2.435,2.517617,2.435,2.6562724
POQPYEUQURHNLA-UHFFFAOYSA-N,3.013,2.9862344,3.013,2.9578598,3.013,2.9848366,3.013,2.930514,3.013,2.9766955,3.013,3.1056073
ISXZMRIJPFIPNC-JCAANHDBSA-N,2.181,2.4263191,2.181,2.354471,2.181,2.3120716,2.181,2.5073998,2.181,2.5103981,2.181,2.5051591
XUIWYEBQAPQVDA-UHFFFAOYSA-N,2.395,2.4943712,2.395,2.563055,2.395,2.59967,2.395,2.6896603,2.395,2.9366016,2.395,2.6322815
CHVSBXHTZCEWEY-UHFFFAOYSA-N,2.692,2.5863554,2.692,2.5190935,2.692,2.6300995,2.692,2.74112,2.692,2.6261525,2.692,2.3249629
RRXIOZVVRLURSN-YSCWOYJSSA-N,2.525,2.487537,2.525,2.5989172,2.525,2.55167,2.525,2.6011288,2.525,2.5343497,2.525,2.6069245
CVIYDJGJFHMNOU-UHFFFAOYSA-N,2.851,2.9772816,2.851,2.3974898,2.851,2.9582045,2.851,2.741381,2.851,2.844108,2.851,2.7362702
WTXBAFYBRPBRPC-UHFFFAOYSA-N,2.998,3.0285325,2.998,2.8553302,2.998,2.8678138,2.998,2.8987057,2.998,2.9361157,2.998,2.901137
PVTRPYLSGBRXII-UHFFFAOYSA-N,2.959,2.8276043,2.959,2.9289277,2.959,2.954982,2.959,2.8057535,2.959,2.9636707,2.959,2.9057527
DALNJSJYVNBHLY-BSXHKMNKSA-N,2.782,2.548285,2.782,2.5918312,2.782,2.7112117,2.782,2.730476,2.782,2.6791286,2.782,2.6278696
AWFUDYKJMLXARF-RCLWYAFUSA-N,2.419,2.1994424,2.419,2.2994227,2.419,2.3602083,2.419,2.4690769,2.419,2.7945058,2.419,3.1447995
ZFGHAVOYVMAHOK-YTJQMYRNSA-N,2.574,2.7415574,2.574,2.5755353,2.574,2.5622427,2.574,2.3378012,2.574,2.5363827,2.574,2.5521617
IBYVFBNKHZNXRJ-UHFFFAOYSA-N,3.318,2.9795997,3.318,2.6522622,3.318,3.0701864,3.318,3.2265718,3.318,3.028173,3.318,3.024949
WEQMRZIZBVHVPO-SJGYVYILSA-N,1.99,2.0354743,1.99,2.1918032,1.99,1.9949123,1.99,2.1166058,1.99,2.2675831,1.99,2.385186
WCIPBEQAPFSWHG-UHFFFAOYSA-N,3.336,3.0063245,3.336,2.8162901,3.336,3.0242565,3.336,3.008088,3.336,3.1176364,3.336,2.9355955
CQHCZYNFZSWCFA-CJVPIAGSSA-N,3.133,3.0944839,3.133,3.0822043,3.133,3.2500827,3.133,3.2680166,3.133,3.3518095,3.133,2.9940486
HIQLNFXCXIGJSZ-JLZLZXRFSA-N,2.65,2.764653,2.65,2.6758764,2.65,2.6016886,2.65,2.792663,2.65,2.9740012,2.65,2.7846258
UUNXJRLMWIBGNI-XPGZBYHPSA-N,3.109,2.8512797,3.109,2.473763,3.109,3.0821192,3.109,2.892933,3.109,2.8917396,3.109,2.8705654
GHTIQAYPANMCQS-CBGPONMPSA-N,2.978,2.9539242,2.978,3.004029,2.978,3.1297355,2.978,3.0694723,2.978,3.287866,2.978,3.1113055
HVUREJVQULMUNI-NCXKSKJHSA-N,2.866,3.0091915,2.866,3.2139037,2.866,2.9821815,2.866,3.12077,2.866,3.393323,2.866,3.7195346
QQFWMPRNGCLTQX-GFDBJVIDSA-N,2.923,3.0860586,2.923,3.0110264,2.923,3.1899185,2.923,3.0517325,2.923,3.447838,2.923,3.4084625
NYXDZUPZXAYQDK-UHFFFAOYSA-N,3.177,3.1329334,3.177,3.21617,3.177,3.2489522,3.177,3.2277122,3.177,3.3822505,3.177,3.192273
UNDKISXQPGHGOM-UNORWZMESA-N,3.073,3.0685177,3.073,3.035729,3.073,3.007137,3.073,2.9602916,3.073,3.4066646,3.073,3.300245
XBUFOUGZZGCZQM-UHFFFAOYSA-N,3.677,3.282131,3.677,3.2002914,3.677,3.690944,3.677,3.4850433,3.677,3.8382294,3.677,3.2746775
PSFKSLUGWWVGRO-QETIVAJFSA-N,3.068,3.1389108,3.068,3.0915165,3.068,3.2653427,3.068,3.2413204,3.068,3.3603134,3.068,3.289481
AATYCZMXJLJRNO-UHFFFAOYSA-N,2.576,2.65417,2.576,2.3614273,2.576,2.5411146,2.576,2.4652884,2.576,2.6149046,2.576,2.5672472
JFICJVFMODGZGI-GMXNEKCESA-N,2.729,2.8094976,2.729,2.4632094,2.729,2.8719954,2.729,2.8360202,2.729,2.841715,2.729,2.9498754
RHKZPEQCDDWMLG-RJBKVBLYSA-N,2.735,2.8130178,2.735,2.676044,2.735,2.9773831,2.735,2.8921041,2.735,3.0832677,2.735,3.2238364
IINKMJUSZFKBRB-UHFFFAOYSA-N,2.959,2.971499,2.959,2.9939368,2.959,2.9437962,2.959,3.0138187,2.959,2.9772851,2.959,3.0481346
DGBVIHIAGJDMPO-CBEPFCCDSA-N,2.843,3.173248,2.843,3.155144,2.843,3.3500438,2.843,3.2128649,2.843,3.822807,2.843,3.384955
RCAQHWMWXISRQE-DHVBMWRMSA-N,2.27,2.396977,2.27,2.2204719,2.27,2.2067811,2.27,2.4660676,2.27,2.3822858,2.27,2.7531376
AILRYSMELNTULV-SCBHKFTOSA-N,2.873,2.9113314,2.873,3.0043125,2.873,2.504595,2.873,2.924641,2.873,3.3736112,2.873,3.2163992
WVIWYAKLYJSQIY-UHFFFAOYSA-N,3.163,2.976943,3.163,2.9508333,3.163,2.979155,3.163,3.015226,3.163,3.0431662,3.163,3.1117244
CVROBABOSSNUKJ-UHFFFAOYSA-N,3.375,3.1031106,3.375,2.8970313,3.375,3.1791265,3.375,2.9761665,3.375,3.3382685,3.375,3.0888498
CWNJCTAXZPHULK-UHFFFAOYSA-N,2.981,2.476375,2.981,2.1710374,2.981,2.589862,2.981,2.5215297,2.981,2.5498204,2.981,2.6315088
OZAAYFNOYBCVDV-UHFFFAOYSA-N,3.194,2.390244,3.194,2.4529507,3.194,2.5149803,3.194,3.1166024,3.194,2.989007,3.194,2.3983698
LXIZSBASEKRZOF-OMHNPSHLSA-N,2.211,2.2534974,2.211,2.1643379,2.211,2.17929,2.211,2.237362,2.211,2.2427044,2.211,2.1215181
WPMDFURLYUKPIB-UHFFFAOYSA-N,3.076,3.043661,3.076,2.3824081,3.076,3.1791363,3.076,3.0042934,3.076,3.1919081,3.076,2.9657092
AFKWIILNQADTOF-UHFFFAOYSA-N,3.018,2.7495244,3.018,2.8302703,3.018,3.2148974,3.018,2.9841561,3.018,2.8384995,3.018,3.074107
GOPOAPLPXJBEFH-UHFFFAOYSA-N,3.049,2.8461509,3.049,2.9429824,3.049,3.022781,3.049,2.463143,3.049,2.9329195,3.049,3.0042105
KADJMXVJCAYXKD-UHFFFAOYSA-N,3.219,3.1329176,3.219,3.159647,3.219,3.2743268,3.219,3.2118697,3.219,3.1797328,3.219,3.1686692
ZDOWIUWWBLRARQ-UHFFFAOYSA-N,2.91,2.994461,2.91,2.5894165,2.91,3.1508312,2.91,3.0341868,2.91,3.0053978,2.91,3.065015
ZCHGUZUGDNVUNH-ZYBCLOSLSA-N,2.982,2.9661164,2.982,2.8589802,2.982,3.1079705,2.982,3.0334094,2.982,2.9797277,2.982,3.1723878
UHEJNHIEKTVDLZ-UHFFFAOYSA-N,2.673,2.741686,2.673,2.4602702,2.673,2.5865955,2.673,2.7158227,2.673,2.6128225,2.673,2.769673
YIIDPWBMQDLQLU-CECLPTFUSA-N,2.524,2.2047815,2.524,2.3358228,2.524,2.3907201,2.524,2.3016603,2.524,2.6772928,2.524,2.7144096
GZNOBLOCJLPEQY-UHFFFAOYSA-N,2.74,3.0414164,2.74,2.8933787,2.74,2.806032,2.74,2.621512,2.74,2.6682189,2.74,2.6360137
GDYPXBXAMPJIBU-UHFFFAOYSA-N,3.385,2.917193,3.385,2.461019,3.385,3.3423173,3.385,3.1815715,3.385,3.2001553,3.385,2.9515214
NCDDJIZERVABQI-GRGRLRQMSA-N,2.509,2.5345871,2.509,2.5619977,2.509,2.5881157,2.509,2.6136382,2.509,2.7795923,2.509,3.1048777
YKUWNEGHGTUHRC-UHFFFAOYSA-N,2.637,2.4950013,2.637,2.3730245,2.637,2.6703577,2.637,2.6004148,2.637,2.5668814,2.637,2.4492843
AWWTVDMTLFKKEA-PTAAJGDUSA-N,1.896,2.410836,1.896,2.4371426,1.896,2.1309822,1.896,2.8624015,1.896,2.345542,1.896,2.011405
MNOSUMGGFQXYID-NLNMFDJXSA-N,2.887,2.961575,2.887,2.9593983,2.887,2.9717057,2.887,2.9908826,2.887,2.7827806,2.887,3.0001028
NAHSSHHXFYJGKZ-BTUZLQPVSA-N,2.41,2.545728,2.41,2.3209264,2.41,2.4444804,2.41,2.3064249,2.41,2.8011262,2.41,3.2002015
QDMIJFKKEGCQRU-UHFFFAOYSA-N,2.555,2.5620637,2.555,2.3926346,2.555,2.5240085,2.555,2.5985954,2.555,2.60689,2.555,2.5828156
BWLAKKWTZDCPOI-DOAJBFAHSA-N,3.017,3.173882,3.017,3.158726,3.017,3.3431568,3.017,3.3162313,3.017,3.656754,3.017,3.8297837
WOBDJCPRGCSTCU-UHFFFAOYSA-N,3.235,2.7566385,3.235,2.196341,3.235,3.1810625,3.235,2.7936924,3.235,3.0144358,3.235,2.8271475
RBGSCICEGRUNMA-UFJAUACXSA-N,2.723,2.795294,2.723,2.5496712,2.723,2.8394916,2.723,2.6599827,2.723,2.7741363,2.723,2.8330572
RRSLZLRLXSFMPT-UHFFFAOYSA-N,2.717,2.6327317,2.717,2.530586,2.717,2.8508434,2.717,2.9780598,2.717,2.9011638,2.717,2.6677709
NYJSEGYMKILRJO-GRGRLRQMSA-N,2.799,3.2665071,2.799,3.1942837,2.799,3.5651531,2.799,3.0925202,2.799,3.585114,2.799,4.121552
BJRYNOBIJLSJKE-MAKFJEITSA-N,2.503,2.6465816,2.503,2.5096993,2.503,2.8111403,2.503,2.4434075,2.503,2.7284658,2.503,2.8634305
VXXOCCAKVVUMSW-AEVGBRMKSA-N,2.775,2.6362493,2.775,2.5940497,2.775,2.6310334,2.775,2.614388,2.775,2.3379507,2.775,2.5029528
YCYCAXMWPXKGPD-ZAVFGHIFSA-N,2.654,2.5427072,2.654,2.6831014,2.654,2.9116387,2.654,2.465003,2.654,2.810576,2.654,2.8751385
JDXJATPATBTYFO-UHFFFAOYSA-N,3.001,2.9999993,3.001,2.944632,3.001,3.016511,3.001,3.0434175,3.001,3.1487255,3.001,3.0019662
WLLZMFZXLAYFKZ-OBPONAQESA-N,2.295,2.4171839,2.295,2.6209443,2.295,2.4279087,2.295,2.3938766,2.295,2.5854776,2.295,2.701832
IYSVIADOXOTEDS-BNJDOESSSA-N,2.74,2.6468298,2.74,2.7193315,2.74,2.8464265,2.74,2.8357868,2.74,3.2108376,2.74,3.0852494
SNEJKDOAJYZXBM-UFEXZOIESA-N,3.265,3.0441113,3.265,3.040989,3.265,3.3006916,3.265,3.1814828,3.265,3.0621243,3.265,3.3171978
XMGNLMSPAIPGOB-GGSGAVFDSA-N,2.686,3.0874426,2.686,2.9973664,2.686,3.126146,2.686,2.8397882,2.686,3.4799805,2.686,4.0118747
ZWBBGBXMHZXTEG-OHSLDDHESA-N,2.799,2.6698108,2.799,2.4578,2.799,2.7846305,2.799,2.7354183,2.799,2.747859,2.799,2.6240942
UNFUJHPWJMHQOF-IJQWAEMASA-N,2.951,2.9584167,2.951,2.9673026,2.951,3.1056504,2.951,3.0532606,2.951,2.9639037,2.951,2.864204
URORYDQWXRRBSY-UHFFFAOYSA-N,2.877,2.9814825,2.877,2.8362248,2.877,2.8918378,2.877,2.7384632,2.877,3.1920562,2.877,3.0807664
JUFPTHHWRDQLEU-UHFFFAOYSA-N,3.172,3.2176118,3.172,3.198478,3.172,3.3283596,3.172,3.181352,3.172,3.1690092,3.172,3.1878486
RLCPQLBIBKDRRL-DVAGYCIVSA-N,2.305,2.5150666,2.305,2.6600814,2.305,2.6936803,2.305,2.3911579,2.305,2.6155496,2.305,2.7813058
VCDJTUNQXHDMJR-UHFFFAOYSA-N,2.813,2.762739,2.813,2.7353225,2.813,2.5027745,2.813,2.5561507,2.813,2.523722,2.813,2.4732509
IPLJWLNKPLUSOO-JACJQHGZSA-N,2.959,3.1065567,2.959,3.1669633,2.959,3.3818552,2.959,3.2477732,2.959,3.4948058,2.959,3.6425993
ROYUSWIYCDAUFP-UHFFFAOYSA-N,2.415,2.453554,2.415,2.3933163,2.415,2.5770612,2.415,2.2457738,2.415,2.7623594,2.415,2.5534923
DYTZYFCJSHLLEA-UHFFFAOYSA-N,3.394,3.2547286,3.394,2.490665,3.394,3.355855,3.394,3.2139745,3.394,3.2182431,3.394,3.1560688
DJKBEDNDTHNQLN-ZQRDYYEUSA-N,2.786,2.6454017,2.786,2.5656347,2.786,2.7316582,2.786,2.7041225,2.786,2.9043956,2.786,2.6996117
RUJRHZOYGYTKQF-UHFFFAOYSA-N,2.458,2.312643,2.458,2.3705196,2.458,2.3368332,2.458,2.4650776,2.458,2.4655921,2.458,2.2274585
USZCYYDZNDTZQD-UHFFFAOYSA-N,3.197,3.199818,3.197,3.177542,3.197,3.2455268,3.197,3.19809,3.197,3.4184623,3.197,3.0154846
LWDVGNLSCWANFT-YBMVAOSUSA-N,2.671,2.8808413,2.671,2.9098067,2.671,3.1225853,2.671,3.004035,2.671,3.0866928,2.671,2.9717886
