,SchNet_true_ES1,SchNet_pred_ES1,PaiNN_true_ES1,PaiNN_pred_ES1,Equiformer_true_ES1,Equiformer_pred_ES1,SphereNet_true_ES1,SphereNet_pred_ES1,DimeNetPlusPlus_true_ES1,DimeNetPlusPlus_pred_ES1,DimeNet_true_ES1,DimeNet_pred_ES1
RDSDJVXRPGISHP-WVKHYPTHSA-N,2.287,2.552253,2.287,2.5678055,2.287,2.62057,2.287,2.5524132,2.287,2.5884511,2.287,2.670707
XPUGLQVCPACOIG-GRTYWBLUSA-N,3.366,3.2064567,3.366,3.118604,3.366,3.1747134,3.366,3.0742965,3.366,3.0787868,3.366,2.9773543
MXWJKIIMBOCXHF-BNXQZNGSSA-N,2.746,2.9885106,2.746,3.00793,2.746,2.7671866,2.746,2.81599,2.746,2.9252403,2.746,2.9473872
CUOIWTGNDUNBMA-DVRIZHICSA-N,2.874,2.9889894,2.874,2.8600926,2.874,2.9882755,2.874,2.956461,2.874,2.727909,2.874,2.8714063
GKTPZMHMQXKXBC-WJFRHRPBSA-N,2.901,2.8550513,2.901,2.8125098,2.901,2.879627,2.901,2.9212213,2.901,2.8079283,2.901,2.8423455
QKXZPFKJFGVRGJ-YFSHNDNZSA-N,3.1,3.1387982,3.1,2.860885,3.1,3.0050678,3.1,3.058254,3.1,3.052621,3.1,3.139821
CHGSFZCBBBHQGS-RHGCBHBOSA-N,2.898,2.9842389,2.898,2.934817,2.898,2.9602475,2.898,2.9438748,2.898,2.9844015,2.898,2.8541753
IAAKVOATKJWBCP-QFLRAQSRSA-N,2.698,2.914834,2.698,2.7379174,2.698,2.8138905,2.698,2.8866253,2.698,2.910521,2.698,2.9363413
PMWZGNQXRYARCM-OSGURRSGSA-N,3.032,3.066903,3.032,3.0613701,3.032,3.1664643,3.032,2.8983567,3.032,2.9466996,3.032,2.9247632
OZGFLSHDOLXLBT-CMWPKYATSA-N,2.69,2.7179086,2.69,2.6127114,2.69,2.5994854,2.69,2.8335378,2.69,2.747707,2.69,2.464811
FRUFHHPWSWGQTF-FSTSUQNOSA-N,2.382,2.4762375,2.382,2.6282015,2.382,2.421228,2.382,2.1473691,2.382,2.5778587,2.382,2.3855023
YCXPIUKGCFLGRY-CVUIAOGPSA-N,2.389,2.311534,2.389,2.3410091,2.389,2.0829327,2.389,2.1893704,2.389,2.6928296,2.389,2.408258
MAFUCRIYOMVVMN-RZEUADNESA-N,2.338,2.5814593,2.338,2.207244,2.338,2.277006,2.338,2.4961264,2.338,2.5833576,2.338,2.6027687
KYSDTHGACIKDKH-OAZBTLTBSA-N,2.428,2.501791,2.428,2.5169477,2.428,2.4651349,2.428,2.383215,2.428,2.2820878,2.428,2.4353082
XKZMIRDAKHFCOU-DRSBTDOGSA-N,2.65,3.200042,2.65,2.8910246,2.65,3.0868769,2.65,2.8384407,2.65,3.0134747,2.65,2.9448998
SRQGNKRSSOYGDN-YDMHVTFVSA-N,2.948,2.9953115,2.948,2.9496076,2.948,2.98773,2.948,2.8953364,2.948,2.9452546,2.948,3.0054452
GXDWLLHRRURVCC-GLJQECBMSA-N,2.711,2.8670616,2.711,2.63727,2.711,2.8498309,2.711,2.848162,2.711,2.8760593,2.711,2.6799052
LPHXJEDACGMQJC-GLJXUZQSSA-N,2.503,2.6224945,2.503,2.5674243,2.503,2.5862215,2.503,2.4089653,2.503,2.5196743,2.503,2.5254977
LURSLDPPFMVBBR-NIEDSSJESA-N,2.409,2.1172857,2.409,2.1665475,2.409,2.2228582,2.409,2.1885638,2.409,1.9263588,2.409,2.0486174
PQQZOTDROUQXIE-CAHBVUMWSA-N,2.699,2.77952,2.699,2.787444,2.699,2.8818524,2.699,2.7294798,2.699,2.691301,2.699,2.794544
OSMYZQBGGRAEFW-DVRNODRBSA-N,2.339,2.2914362,2.339,2.407617,2.339,2.1683416,2.339,2.2145622,2.339,2.3298476,2.339,2.4318602
XERRAHLRZJFJEC-DICXZTSXSA-N,2.654,2.706203,2.654,2.804824,2.654,2.67054,2.654,2.7842345,2.654,2.8136554,2.654,2.8606026
USYJZAQJEWIYCO-UFQYSDCZSA-N,3.019,2.9792857,3.019,3.1365244,3.019,3.036008,3.019,3.0798218,3.019,2.9178367,3.019,3.0992045
UKQWVPWNPUXQCN-AQSCWKCUSA-N,2.977,3.0150661,2.977,2.9896588,2.977,3.1004303,2.977,2.980589,2.977,2.8094392,2.977,2.8710265
NQBXQCQHPUXCND-RQRWGXNHSA-N,1.798,2.2063215,1.798,1.9599524,1.798,2.0114539,1.798,2.0778604,1.798,2.196165,1.798,2.0783412
FAMCBNKNDPYLTR-FYWWRJMISA-N,2.608,2.73715,2.608,2.815786,2.608,2.4676983,2.608,2.7121172,2.608,2.9217534,2.608,2.9331696
PBGBBVFUSXUKKK-CXVMZADYSA-N,2.797,2.8649359,2.797,2.8191671,2.797,2.8756506,2.797,2.9119816,2.797,2.677968,2.797,2.8691266
ODBUEGOXAMXDIA-ISSAXTOOSA-N,2.238,2.439139,2.238,2.4011922,2.238,2.2261758,2.238,2.2342446,2.238,2.459351,2.238,2.3949587
MJVFDMZEQMLRFB-JLHBEIDQSA-N,3.035,3.0453296,3.035,3.1053977,3.035,3.1249146,3.035,3.1143699,3.035,3.1363792,3.035,2.969637
UJKSBQMILGVERO-UHIZKJEFSA-N,2.552,2.71501,2.552,2.797467,2.552,2.7461305,2.552,2.7278872,2.552,2.6186085,2.552,2.6982663
PDYMRVCABZHZOO-NFIXZQHQSA-N,2.971,3.0044413,2.971,2.979866,2.971,3.1029036,2.971,2.9460502,2.971,3.0353944,2.971,2.9773614
FIVLKKAYJZKDSS-WSBIKYRQSA-N,2.59,2.805809,2.59,2.716462,2.59,2.546527,2.59,2.607519,2.59,2.6241906,2.59,2.6685894
LYNUZMWMEKSNRC-GRJJWPQWSA-N,2.756,2.9015114,2.756,2.7530713,2.756,2.6452215,2.756,2.7343915,2.756,2.8956287,2.756,2.8795376
MJONNBPULMNHID-JAYFWSQLSA-N,3.138,3.0125372,3.138,3.0127883,3.138,3.047314,3.138,3.0489154,3.138,2.8285782,3.138,2.809151
WDWMIBMRRVPJAX-PPMGJCEYSA-N,2.324,2.447943,2.324,2.1995108,2.324,2.203447,2.324,2.325976,2.324,2.4628584,2.324,2.3033645
YLTQXTUQXBAPMX-GKYQXBKLSA-N,2.675,2.9776149,2.675,2.7432802,2.675,2.912656,2.675,2.8980765,2.675,2.9154909,2.675,2.996698
AFXPDVXAEWHBFX-RFZGEVEBSA-N,2.351,2.3923066,2.351,2.7044213,2.351,2.3268375,2.351,2.5427732,2.351,2.7918713,2.351,2.8101413
HHSYRQQFBXPNER-ZISLRZCBSA-N,2.849,2.937952,2.849,2.9508727,2.849,3.0277116,2.849,2.9959633,2.849,2.9610767,2.849,2.8197238
DHWMPPKILMPWCU-CJVPIAGSSA-N,2.8,2.997396,2.8,2.9526165,2.8,3.053074,2.8,3.0223644,2.8,2.922667,2.8,2.860216
AZINWBAEYVDAAG-YDZHTSKRSA-N,2.677,2.6906695,2.677,2.658442,2.677,2.7039146,2.677,2.6630347,2.677,2.727763,2.677,2.6129923
JBVFHPTUSYCZAE-LLWBAHTNSA-N,2.395,2.2766347,2.395,2.4575796,2.395,2.2925212,2.395,2.2754998,2.395,2.1972477,2.395,2.3642385
JOMBGORDMINSPF-OTDYIFQASA-N,3.14,3.0943775,3.14,2.9884925,3.14,2.971251,3.14,3.0261784,3.14,2.8954933,3.14,3.1084123
DCLJWTWTPCWGJI-NJNWQDHISA-N,2.44,2.6880603,2.44,2.785742,2.44,2.7414427,2.44,2.7208903,2.44,2.686672,2.44,2.6745
POXQBRXUSDWTPJ-CXVMZADYSA-N,2.794,2.874996,2.794,2.859838,2.794,2.960741,2.794,2.898612,2.794,2.8413959,2.794,2.878782
UZBJRYVHPNRNRA-IZZKMKHWSA-N,2.214,2.2199094,2.214,2.4056401,2.214,2.1956303,2.214,2.2225704,2.214,2.5474412,2.214,2.2760997
IFLCMQMBGMHEQI-UVQSYHJFSA-N,2.73,2.8042502,2.73,2.831725,2.73,2.8010657,2.73,2.8572142,2.73,2.9092977,2.73,2.7934234
ROMLLVWSHGVPDN-CRLXFDETSA-N,3.106,3.0288565,3.106,2.9127352,3.106,2.9204397,3.106,2.950988,3.106,2.9079242,3.106,2.9033031
NECREVLDBMGAPH-WYMKRNKVSA-N,2.148,2.2322369,2.148,2.2714143,2.148,2.2955344,2.148,2.241671,2.148,2.443993,2.148,2.3121176
KTPYWOUAELWAEQ-AQZHZHBSSA-N,2.819,2.9075754,2.819,2.8644571,2.819,2.9693973,2.819,2.8768566,2.819,2.7714396,2.819,2.7998881
LUYLKGNWSVNLPJ-YWBGCIEFSA-N,2.744,2.8474026,2.744,2.6298585,2.744,3.006452,2.744,2.7775614,2.744,2.651473,2.744,2.7681067
KUTASNCYQHEZKT-PWUFHCJJSA-N,2.277,2.281261,2.277,2.2046883,2.277,2.188016,2.277,2.2519825,2.277,2.5518587,2.277,2.3669488
CDOAOLNKXUGIGW-HOBRMHAGSA-N,2.223,2.3805692,2.223,2.2187529,2.223,2.410769,2.223,2.3198962,2.223,2.6129043,2.223,2.4925423
JVKKWHINPQVQNU-ZJQMHQHASA-N,2.771,2.890702,2.771,2.799928,2.771,2.7998621,2.771,2.9364548,2.771,2.6476939,2.771,2.728244
JCPSDBQCVKATRD-FUSYJALBSA-N,2.347,2.4289606,2.347,2.3626063,2.347,2.2352355,2.347,2.342177,2.347,2.4893734,2.347,2.425354
FMVKJMOHLXGLLR-RPUDKEGQSA-N,2.736,2.9978273,2.736,2.7673297,2.736,2.8184502,2.736,2.934963,2.736,2.8769338,2.736,2.826667
ZIVBXGCGFRXXRB-LAVVRFEDSA-N,2.635,2.9839334,2.635,2.8363469,2.635,2.7568278,2.635,3.0052137,2.635,2.805378,2.635,2.8470008
ICZCFQGZTREXQW-AQAGRAQRSA-N,2.194,2.1271594,2.194,2.2639358,2.194,1.995078,2.194,2.4983928,2.194,1.9798262,2.194,1.6715417
FXIMWZLQQLLQHR-ROPBMMHBSA-N,2.9,2.8769295,2.9,2.7782302,2.9,2.8423572,2.9,2.8135824,2.9,3.0277746,2.9,2.9005156
ZEKVNHBQCRTHEM-PZOKPFNQSA-N,2.832,2.9904368,2.832,2.8805919,2.832,2.907099,2.832,2.9306922,2.832,2.629497,2.832,2.9498239
JNICMVKFSRMJMO-FNTLCPBMSA-N,2.892,2.863362,2.892,2.923105,2.892,2.845131,2.892,2.7758293,2.892,2.8510509,2.892,2.725643
GXDKSACKQRQWLA-SOKJZAOGSA-N,2.753,2.9568431,2.753,2.7325428,2.753,2.900482,2.753,2.8408206,2.753,2.681313,2.753,2.8301816
MVINXRBUHZEWKX-BKPOFFDFSA-N,2.304,2.4124475,2.304,2.3559866,2.304,2.3297465,2.304,2.390837,2.304,2.4793735,2.304,2.557848
YKGCMZALDAPMDQ-APTWKGOFSA-N,3.205,3.0795166,3.205,3.037633,3.205,3.1813238,3.205,3.034207,3.205,3.1800945,3.205,3.1341863
KASTVVPMXKVNNK-KMUKQRDJSA-N,2.608,2.54631,2.608,2.730258,2.608,2.3609757,2.608,2.4739735,2.608,2.627812,2.608,2.557661
GEFDFDRZQPAACU-AZJWFNHMSA-N,2.353,2.5308774,2.353,2.4937422,2.353,2.434938,2.353,2.5356162,2.353,2.6305883,2.353,2.3468065
QWRQLGNWJFKJBW-UTPLHVODSA-N,2.752,2.8430643,2.752,2.7232413,2.752,3.0046725,2.752,2.9612837,2.752,2.987414,2.752,2.9784105
KLIGVEUAEPOBCV-FNXXMUFNSA-N,3.287,3.1394076,3.287,2.9647386,3.287,3.2560418,3.287,3.0927386,3.287,3.1667738,3.287,3.1840289
KCGULDXPPZKLBZ-NFMXFFRBSA-N,2.98,3.2147653,2.98,3.1294453,2.98,3.230864,2.98,3.1852145,2.98,2.9679165,2.98,2.954477
OSXLQPZCYXFIAR-PQNOQRNOSA-N,3.313,3.1626751,3.313,3.0759172,3.313,3.1297123,3.313,3.2580323,3.313,2.9485545,3.313,2.8809264
ULFDXPPSGVRQQS-QCTKJTAFSA-N,2.694,3.2949398,2.694,2.9465172,2.694,3.0451248,2.694,3.0235834,2.694,2.7098022,2.694,2.8768554
JSBAAJIQJYCYND-ACXHZZMFSA-N,3.462,3.1906471,3.462,3.101139,3.462,3.4927979,3.462,3.2709997,3.462,3.0453405,3.462,3.2868166
PYKPUHZCJDZIOL-HQILZYGMSA-N,2.091,2.1372411,2.091,2.320695,2.091,2.1649928,2.091,2.2144094,2.091,2.193252,2.091,2.1656573
LYHWTOQXRJNPPO-JAVXJAORSA-N,2.258,2.7981637,2.258,2.6850724,2.258,2.391219,2.258,2.337728,2.258,2.6290507,2.258,2.811358
LNKHQBHIQIQWPV-DROIHQCSSA-N,2.492,2.3117104,2.492,2.460465,2.492,2.3555417,2.492,2.4094303,2.492,2.552012,2.492,2.4198644
UBVTZYQDKKDKBS-JAFLOVGSSA-N,2.385,2.5254397,2.385,2.3984365,2.385,2.2235873,2.385,2.5886695,2.385,2.6674855,2.385,2.3071394
KGNPRVXUZDTSNC-RODHXAHZSA-N,3.142,3.1680293,3.142,3.1788619,3.142,3.251437,3.142,3.0344675,3.142,3.0982733,3.142,3.1300738
AYHFCYJPKLLDAP-IYWUSEPVSA-N,2.603,3.158137,2.603,3.2378805,2.603,3.148202,2.603,3.003563,2.603,3.0175872,2.603,2.9133084
QMEOCQUFZGEVOD-YFRGACNPSA-N,2.252,2.4901268,2.252,2.5259845,2.252,2.191377,2.252,2.3996832,2.252,2.75262,2.252,2.8439965
WCRHGISHMJWDSC-VAPIAZESSA-N,2.84,2.8412764,2.84,2.887739,2.84,2.8014436,2.84,2.853229,2.84,2.8538218,2.84,2.8061109
UAFGPBZLTQTAHU-JGKJQCDESA-N,2.745,2.79839,2.745,2.8410776,2.745,2.9027398,2.745,2.8096755,2.745,2.9015772,2.745,2.7911112
OKCBGIUHQQZWRV-COOFCEJJSA-N,2.466,2.5722425,2.466,2.4783697,2.466,2.4223013,2.466,2.298779,2.466,2.421374,2.466,2.4596334
GNTYMYFJBFINHI-WGSLGHPRSA-N,2.622,2.670025,2.622,2.544451,2.622,2.6409054,2.622,2.4536152,2.622,2.6408699,2.622,2.554245
QDXALHMWVLMARH-DBSPGSINSA-N,3.42,3.1653438,3.42,3.3070695,3.42,3.2985828,3.42,3.1547341,3.42,3.273293,3.42,3.0688457
GHDAKYFOIYRGKG-SJUSNGENSA-N,3.305,3.184609,3.305,3.1311321,3.305,3.372479,3.305,3.1164498,3.305,3.1531565,3.305,3.165296
WFELLLJMKMHHOT-OETYMVPYSA-N,2.282,2.093099,2.282,2.247119,2.282,1.9317707,2.282,2.2640765,2.282,1.9384849,2.282,2.405163
RRKVUENRSPZCRK-NUJZUDFISA-N,2.974,3.1637712,2.974,3.038148,2.974,3.1150744,2.974,3.07523,2.974,2.8273988,2.974,3.1680999
IJKSJSRAUHXVNM-XRAJNVKESA-N,3.16,3.0138202,3.16,3.1769495,3.16,3.1513035,3.16,3.15962,3.16,3.1497824,3.16,3.0316741
GPSGJAYAKLDYDB-GZZLJNBRSA-N,2.581,2.6212027,2.581,2.7904193,2.581,2.710626,2.581,2.6732967,2.581,2.6268454,2.581,2.630983
RTXLVSSCDDSXFI-SRIGTWBBSA-N,2.784,2.9368968,2.784,2.910757,2.784,2.8471541,2.784,2.8946242,2.784,2.7751615,2.784,2.7378974
UOCCYQVBUPXPFP-WINONUGQSA-N,2.772,2.8149295,2.772,2.7151153,2.772,2.7881613,2.772,2.8210483,2.772,2.687817,2.772,2.6481338
XKCSWIGWPDGMDS-BQIMNVTISA-N,2.456,2.268158,2.456,2.2982557,2.456,2.274981,2.456,2.1888154,2.456,2.2845547,2.456,2.276088
AKRXBGDPTQYXOR-NCQAVTHPSA-N,3.197,3.1447384,3.197,3.0646238,3.197,2.8047261,3.197,3.0851445,3.197,2.868931,3.197,2.956862
QMNYMVXTSDHFTO-INRUPRTJSA-N,2.799,3.0258493,2.799,3.0165992,2.799,3.00526,2.799,3.045483,2.799,2.931071,2.799,3.0208087
ZHHKQRZZHYYIPK-YCVAIXOHSA-N,2.292,2.5451834,2.292,2.390646,2.292,2.327213,2.292,2.2447064,2.292,2.349916,2.292,2.5272532
KTARXXZBNZBJTH-WIMUOEIGSA-N,2.378,2.4328582,2.378,2.4205115,2.378,2.1644247,2.378,2.1993797,2.378,2.3784275,2.378,2.3220937
SXMKACLXUITBQB-UKIVNFPFSA-N,2.797,2.8112535,2.797,2.9510162,2.797,2.9539816,2.797,2.9527025,2.797,2.8840141,2.797,2.9032164
NPLDBVJOCTUXDQ-FUSQCXFXSA-N,2.999,3.051468,2.999,2.9941912,2.999,3.0636418,2.999,3.1816268,2.999,3.0159347,2.999,3.060604
LYMIHYUQBZYYHH-LMIIZHGVSA-N,2.571,2.6554947,2.571,2.6448293,2.571,2.6622636,2.571,2.6289055,2.571,2.6643648,2.571,2.6894054
VCXNEWUAWLHEFX-BGMILDDJSA-N,2.249,2.1374693,2.249,2.2579937,2.249,2.2121198,2.249,2.192991,2.249,2.42583,2.249,2.2835875
LRQCDOOYPHWVSX-WVOOJQCOSA-N,3.025,2.8631003,3.025,3.0006347,3.025,3.0486856,3.025,3.004465,3.025,2.88929,3.025,2.9285467
AKNBVCWUFRNKJA-BMTHCCRVSA-N,3.368,3.3331783,3.368,3.1304882,3.368,3.1602333,3.368,3.2634296,3.368,3.1330009,3.368,3.099354
XECDAEVWZOPNRN-RSFXEFQESA-N,2.896,2.9839873,2.896,3.1322894,2.896,3.0060616,2.896,3.0944266,2.896,3.0014217,2.896,2.9105663
DIYDKPARBFYSTN-HCOIXMJGSA-N,2.578,2.4385285,2.578,2.5732646,2.578,2.3956392,2.578,2.16959,2.578,2.6488032,2.578,2.6104362
QLNLFMTYJXXBAS-GTYSUSSSSA-N,2.556,2.4566603,2.556,2.444226,2.556,2.5174744,2.556,2.3581905,2.556,2.4684463,2.556,2.5764787
AKQNFBKCNIXFBX-OWJVGSFTSA-N,2.792,3.1483955,2.792,3.1449227,2.792,3.234516,2.792,3.2027714,2.792,2.9165702,2.792,3.0422728
ISTRYVKVMVHBDU-CXVMZADYSA-N,2.876,2.9672909,2.876,3.068441,2.876,2.9859097,2.876,2.9911642,2.876,2.9007645,2.876,2.9448822
TZBWZHALWLFIJG-GATOTUQDSA-N,3.074,3.0925522,3.074,2.95882,3.074,3.1188881,3.074,3.0805092,3.074,2.9469616,3.074,3.1222425
NZQHWSSYOXEZJU-LWAJBDKSSA-N,2.082,2.2393463,2.082,2.2504485,2.082,2.060463,2.082,2.237486,2.082,2.1996918,2.082,2.0841224
YWWJCAHMIMMKFA-DQGTYSGISA-N,2.873,2.8285983,2.873,2.7034354,2.873,2.8715007,2.873,2.8527365,2.873,2.734193,2.873,2.891883
HMGGFYZJNRYANZ-ACDQRGIESA-N,2.312,2.5393233,2.312,2.4608414,2.312,2.4929595,2.312,2.6564355,2.312,2.7573247,2.312,2.751406
HLFGKDROKIKTSJ-GQOOTKRESA-N,2.434,2.371467,2.434,2.2877293,2.434,2.1996,2.434,2.1712623,2.434,2.6097174,2.434,2.4192817
WURFYKJUCDUVNX-JGKJQCDESA-N,2.681,2.7915869,2.681,2.825407,2.681,2.9515448,2.681,2.903776,2.681,2.794331,2.681,2.826004
IOYKVVYHDSHKKJ-AQAGRAQRSA-N,2.411,2.4176466,2.411,2.471965,2.411,2.3593786,2.411,2.248092,2.411,2.4750376,2.411,2.3829992
VVQJFLOUVSZIEA-ZFVYUJKASA-N,2.924,3.1089303,2.924,3.071396,2.924,3.1310198,2.924,3.024028,2.924,2.771961,2.924,2.8874156
VEDODSPOLRVLOS-LALXJTNGSA-N,2.676,3.080405,2.676,3.3363729,2.676,3.150781,2.676,3.06089,2.676,2.958641,2.676,2.9050374
GDZXKGUYLLAEIM-WKXJJLOESA-N,2.549,2.082437,2.549,2.5399318,2.549,2.2714536,2.549,2.3516555,2.549,2.5229673,2.549,2.224412
HHQPCFFWSZHMMR-GJOZBGMTSA-N,2.958,3.0304565,2.958,2.9277046,2.958,3.0507483,2.958,2.980901,2.958,3.1641445,2.958,3.060854
JEEAUNYGWBOUGR-VHFSBPNMSA-N,2.4,2.478336,2.4,2.5746124,2.4,2.511188,2.4,2.3609588,2.4,2.4551077,2.4,2.3073719
HGSTWXWYJXKPQV-BBUXEPKYSA-N,2.13,2.2281504,2.13,1.8169075,2.13,1.7313445,2.13,2.001111,2.13,1.8492147,2.13,1.696878
