,SchNet_true_ES1,SchNet_pred_ES1,PaiNN_true_ES1,PaiNN_pred_ES1,Equiformer_true_ES1,Equiformer_pred_ES1,SphereNet_true_ES1,SphereNet_pred_ES1,DimeNetPlusPlus_true_ES1,DimeNetPlusPlus_pred_ES1,DimeNet_true_ES1,DimeNet_pred_ES1
MEVILZXGYFQZCC-UHFFFAOYSA-N,2.113,2.1250715,2.113,2.3303874,2.113,2.1669009,2.113,2.2013378,2.113,2.194155,2.113,2.2999458
OFVLRDXRZAVRDZ-UHFFFAOYSA-N,2.421,2.4717233,2.421,2.510243,2.421,2.5381231,2.421,2.5758598,2.421,2.4592967,2.421,2.5393767
OQBICXIEQUGFFL-UHFFFAOYSA-N,3.305,3.056202,3.305,3.3144088,3.305,3.4255023,3.305,3.50007,3.305,3.1734834,3.305,3.159306
BYQGCQYJNCKSHB-BGMILDDJSA-N,2.291,2.3606277,2.291,2.3664167,2.291,2.352622,2.291,2.496301,2.291,2.3438559,2.291,2.5114625
AFCQNDVXMHKBSM-UXMIAINHSA-N,2.218,2.400138,2.218,2.4532416,2.218,2.1054888,2.218,2.417783,2.218,2.5318696,2.218,2.5929537
FHUHNHQRZJOAFG-UHFFFAOYSA-N,3.37,3.0418115,3.37,3.2950904,3.37,3.3246007,3.37,3.304675,3.37,3.250804,3.37,3.1683226
GTHBZOAFFXZEIF-UHFFFAOYSA-N,1.984,2.2455385,1.984,2.0145934,1.984,2.181002,1.984,2.2047796,1.984,2.1152709,1.984,2.1329217
XZBIICQADJFQSN-RPHGGDOWSA-N,2.265,2.3977797,2.265,2.242456,2.265,2.313203,2.265,2.3808095,2.265,2.450153,2.265,2.4089155
ZONSDDWUNRRYLS-WRPPCOEXSA-N,2.63,2.4860232,2.63,2.3417835,2.63,2.554952,2.63,2.60451,2.63,2.4941926,2.63,2.506284
ZMFODPYUSIZKOZ-UHFFFAOYSA-N,2.473,2.5114894,2.473,2.5428054,2.473,2.5169148,2.473,2.5214205,2.473,2.4803677,2.473,2.5917816
UVVWSXPGXMIODE-NPEQHDRISA-N,2.82,2.8499258,2.82,2.8709345,2.82,2.7780995,2.82,2.823189,2.82,2.8675196,2.82,2.796267
VQFGYNOHQJZOSU-UHFFFAOYSA-N,3.148,2.808098,3.148,2.9728081,3.148,3.2014375,3.148,3.0055938,3.148,2.9905503,3.148,3.0248203
VRWUNTRQWKROAW-KQOYITCJSA-N,2.581,2.3792694,2.581,2.6034486,2.581,2.5934942,2.581,2.6418872,2.581,2.5060985,2.581,2.5634253
CLJMEYYTADQOAS-UHFFFAOYSA-N,2.751,2.4846337,2.751,2.9548411,2.751,2.783711,2.751,2.9351034,2.751,2.8894656,2.751,2.88476
ZIEWANMUVVDPOK-UHFFFAOYSA-N,3.192,2.6037478,3.192,3.0107825,3.192,3.231694,3.192,2.977759,3.192,2.8824756,3.192,2.840742
JEYYGZDXIXKYIN-XQVFDSGOSA-N,2.726,2.7581165,2.726,2.6336172,2.726,2.684542,2.726,2.6720982,2.726,2.614873,2.726,2.7686694
CXQBGGNFHXATHD-BGMILDDJSA-N,2.284,2.339546,2.284,2.0570567,2.284,2.2764986,2.284,2.3087134,2.284,2.3472073,2.284,2.297666
HUUSPTVNTZKHLC-JCSMLNNJSA-N,2.914,2.7713466,2.914,2.7830055,2.914,2.8175218,2.914,2.8695168,2.914,2.9731743,2.914,2.846986
NYDCUAGAKROZPR-DTASFGGXSA-N,2.882,2.86229,2.882,3.0314415,2.882,2.9630322,2.882,3.0960925,2.882,3.0835044,2.882,3.014228
QUUOXUNJCXKTSQ-UHFFFAOYSA-N,2.201,2.4151206,2.201,2.272081,2.201,2.4539776,2.201,2.4632533,2.201,2.521195,2.201,2.529325
PZSXYVNAGBOLSY-UHFFFAOYSA-N,3.428,3.0039692,3.428,3.1118045,3.428,3.4966557,3.428,3.265209,3.428,3.04678,3.428,2.8429995
GPHJQZMBKWTQPK-DJFBCMSJSA-N,3.158,2.9133496,3.158,3.1712372,3.158,3.336212,3.158,3.037972,3.158,2.967295,3.158,2.862513
SKHQJCYWAOATER-UHFFFAOYSA-N,2.845,2.637834,2.845,2.8008387,2.845,2.6032526,2.845,2.67487,2.845,2.6532907,2.845,2.7511213
DVDBRIIJVMJAPM-SEAWODQXSA-N,2.815,2.783198,2.815,2.8293412,2.815,2.8600407,2.815,2.8189034,2.815,3.0220885,2.815,3.0154505
AWULTDNOXIYLLH-SJGYVYILSA-N,2.072,2.3206053,2.072,2.3099356,2.072,2.3844793,2.072,2.3075523,2.072,2.447568,2.072,2.2804172
QHYADGDJXSXWPK-UHFFFAOYSA-N,2.674,2.677677,2.674,2.8133216,2.674,2.7982528,2.674,2.7016745,2.674,2.7050157,2.674,2.8280787
AHPVTJLEPMQFHU-MIMPSMLTSA-N,2.93,2.551134,2.93,2.9295166,2.93,2.7968829,2.93,2.8973444,2.93,2.9930227,2.93,2.7496307
IJHKIDLQDPKZSM-UHFFFAOYSA-N,2.494,2.38451,2.494,2.4075592,2.494,2.4415963,2.494,2.4375672,2.494,2.527533,2.494,2.4893022
GWVUGEZEYJWPCG-UHFFFAOYSA-N,3.323,3.3594983,3.323,3.373957,3.323,3.3919241,3.323,3.3011045,3.323,3.374898,3.323,3.360136
WRWOMMNWCVOVMT-IPBVOBEMSA-N,2.828,2.7011516,2.828,2.9227874,2.828,2.8597531,2.828,2.894704,2.828,2.818913,2.828,2.841457
KMUNLRZZFGRDQY-UHFFFAOYSA-N,2.091,2.2522597,2.091,2.1887133,2.091,2.2750123,2.091,2.4043891,2.091,2.3398907,2.091,2.2856274
RAUALRCPFUCNTR-ZLMSITSKSA-N,2.73,2.671881,2.73,2.8321192,2.73,2.762565,2.73,2.7514155,2.73,2.642977,2.73,2.6823587
RJQBFQOHYXJGOR-UHFFFAOYSA-N,2.959,2.7330582,2.959,2.9630933,2.959,3.035188,2.959,3.0760255,2.959,3.1068716,2.959,3.0273108
WSNZIDNSGLYYCX-UHFFFAOYSA-N,2.752,2.9299376,2.752,2.9842458,2.752,2.9995296,2.752,2.9444919,2.752,3.0525463,2.752,3.0530431
GYXPXJGBVJUUMF-UHFFFAOYSA-N,3.024,2.6460896,3.024,2.9636552,3.024,2.9246852,3.024,3.0131032,3.024,2.9807699,3.024,3.0378346
SLJLGMVWFKXJRF-UHFFFAOYSA-N,2.759,2.660515,2.759,2.7760475,2.759,2.712886,2.759,2.7099228,2.759,2.6742554,2.759,2.7431078
ZBAYNRFRTWGYBY-KJHSNVEJSA-N,2.9,2.8246667,2.9,2.723797,2.9,3.110015,2.9,3.124558,2.9,2.700858,2.9,2.8256574
HPCYFHVPOVWGBN-IIPLYIFHSA-N,2.943,2.7169228,2.943,2.8121223,2.943,2.935213,2.943,2.9816103,2.943,3.0207891,2.943,2.8379433
YRKFSIAJQNXUFT-UHFFFAOYSA-N,2.668,2.4679677,2.668,2.534167,2.668,2.7558932,2.668,2.5753608,2.668,2.743823,2.668,2.65985
WPMACYQXTOOBMT-NUJZUDFISA-N,2.085,2.325248,2.085,2.1762953,2.085,2.0632975,2.085,2.3804054,2.085,2.176139,2.085,2.1416733
NQZMTJQSRZBLNN-LMIIZHGVSA-N,2.59,2.6169941,2.59,2.587424,2.59,2.639913,2.59,2.6558688,2.59,2.707871,2.59,2.595623
XLARBUBRLKSTTC-WONLUPPJSA-N,2.897,2.8558025,2.897,2.9690063,2.897,3.0536654,2.897,2.9407039,2.897,2.9960701,2.897,2.7177157
JKTRYBJCRJCPLH-BTLQECFZSA-N,2.942,2.752415,2.942,2.9148324,2.942,3.0985847,2.942,2.9759116,2.942,2.8205526,2.942,2.985545
DXRXYDZROUMVQT-UHFFFAOYSA-N,3.31,3.205902,3.31,3.41547,3.31,3.3290415,3.31,3.5319543,3.31,3.157759,3.31,3.1304057
SOBAMXLWGHIJSM-PHCWPWJFSA-N,2.274,2.1348152,2.274,2.7486541,2.274,2.4279218,2.274,2.4634862,2.274,2.5414722,2.274,2.5957932
SGISRABZBDNVJC-UHFFFAOYSA-N,2.112,2.4438994,2.112,2.2820873,2.112,2.2856636,2.112,2.2998862,2.112,2.45589,2.112,2.4504082
HACBTLCKHJIUNJ-DNAWJIADSA-N,2.517,2.300579,2.517,2.669817,2.517,2.4308522,2.517,2.4249232,2.517,2.4844878,2.517,2.4709373
RUTVGYJFJXZIEF-YEAKOVHHSA-N,2.403,2.4394715,2.403,2.1033652,2.403,2.4867077,2.403,2.3861115,2.403,1.6314358,2.403,2.2975597
VIJBPVVJHCAZIQ-AQUGMHQTSA-N,2.957,2.8616,2.957,3.0109293,2.957,2.9733617,2.957,2.9364839,2.957,2.9874158,2.957,3.0969872
SNANEBUVRPRZKA-RJSHOUEJSA-N,2.97,2.8359263,2.97,2.8853517,2.97,2.8759468,2.97,2.8483782,2.97,3.0408344,2.97,2.7948895
UUQVIBGETBDASI-UHFFFAOYSA-N,3.361,3.4911819,3.361,3.4699442,3.361,3.6630154,3.361,3.7341406,3.361,3.5591524,3.361,3.3164685
YAOUNJZMPKOUPC-UHFFFAOYSA-N,2.663,2.5489483,2.663,2.704914,2.663,2.742698,2.663,2.669275,2.663,2.8752842,2.663,2.6651976
RKRQOBLMGLNRRE-UHFFFAOYSA-N,2.514,2.6520002,2.514,2.651601,2.514,2.6130164,2.514,2.6000354,2.514,2.7498991,2.514,2.653718
UHJNFAKTKHBFIG-UHFFFAOYSA-N,3.027,2.768083,3.027,3.133711,3.027,3.0105944,3.027,3.0537546,3.027,3.2669625,3.027,3.1307068
WQRGSQBXARWVJP-UHIGXYKMSA-N,2.865,2.8902292,2.865,2.9950478,2.865,2.9109364,2.865,2.924455,2.865,3.1268947,2.865,3.0884104
ZGBKFWMVXIXNOO-DCCHCWHHSA-N,2.815,2.529913,2.815,2.9002185,2.815,2.936184,2.815,2.9322863,2.815,2.9350364,2.815,2.8082778
XZYDMKAVKBUUIC-UHFFFAOYSA-N,3.168,2.9147234,3.168,3.110914,3.168,3.2487025,3.168,3.2550235,3.168,2.9190462,3.168,2.931846
CKRKQMYUCKQGCZ-UHFFFAOYSA-N,3.129,3.1246696,3.129,3.190697,3.129,3.1921856,3.129,3.1094258,3.129,3.0447145,3.129,3.0096943
XDKMRWJAEGVYSZ-UHFFFAOYSA-N,2.376,2.723737,2.376,2.6672838,2.376,2.653949,2.376,2.7376206,2.376,2.8891804,2.376,2.5675144
YSZHQJLELUMHIJ-UHFFFAOYSA-N,3.308,3.2955933,3.308,3.5450552,3.308,3.5368514,3.308,3.3734837,3.308,3.3528748,3.308,3.2318215
RSQITNLSERRDAJ-UHFFFAOYSA-N,2.101,2.243364,2.101,2.186207,2.101,2.1941466,2.101,2.3224075,2.101,2.5287237,2.101,2.3326654
JLCUYQMXMWKLJO-DLCNMLRHSA-N,2.896,2.774566,2.896,2.785702,2.896,2.8044658,2.896,2.8024385,2.896,2.9120986,2.896,2.8817928
WVQKLIUOXBSDQB-UHFFFAOYSA-N,1.842,1.8642495,1.842,2.1326125,1.842,2.9343615,1.842,1.2543309,1.842,1.9347253,1.842,1.882713
OPPHMUBQRWMVMQ-GFDBJVIDSA-N,2.601,2.6621475,2.601,2.539159,2.601,2.6887465,2.601,2.7673209,2.601,2.7015827,2.601,2.673331
CXCHDNWCGPFJRA-YRJKAGBCSA-N,2.132,2.2480054,2.132,1.9519747,2.132,2.191018,2.132,2.0962067,2.132,2.3447928,2.132,2.1509116
YQTSPZSGJCXHIT-SKJZHKDQSA-N,2.975,2.7856345,2.975,2.954272,2.975,2.8824594,2.975,2.8241482,2.975,2.8619163,2.975,3.002999
VIOZDJXCFMSNST-YHCFINJFSA-N,2.703,2.6390183,2.703,2.5429435,2.703,2.5668344,2.703,2.8124235,2.703,2.8848066,2.703,2.7515044
LJDKKXACECOJGR-BWOPKOJESA-N,2.697,2.297913,2.697,2.6423056,2.697,2.548762,2.697,2.7113962,2.697,2.5841541,2.697,2.613081
VBDCECQWLVLSGE-AAPHRLRXSA-N,2.586,2.7193694,2.586,2.6721873,2.586,2.4741445,2.586,2.752529,2.586,2.9592087,2.586,2.8615422
BHBKZKKSDAGMNS-FMVPLWAHSA-N,2.232,2.690675,2.232,2.5262153,2.232,2.5347836,2.232,2.4171455,2.232,2.5353823,2.232,2.7236466
NSFLKINAQCKWBC-LPHOPMOUSA-N,2.662,2.5683408,2.662,2.7016084,2.662,2.6074421,2.662,2.6495233,2.662,2.4382246,2.662,2.5813742
VIDCSEHHIPIKCS-UHFFFAOYSA-N,2.942,3.0561905,2.942,3.0411842,2.942,3.0956314,2.942,3.044923,2.942,3.054023,2.942,2.9478939
GIPQBZWEIBJHTO-UHFFFAOYSA-N,2.688,2.4242296,2.688,2.6626103,2.688,2.587854,2.688,2.624495,2.688,2.6153858,2.688,2.8108013
MGSYIEDMGNUCAL-KCCPGTNISA-N,2.963,2.758096,2.963,2.9368813,2.963,2.889246,2.963,2.8580813,2.963,2.8037875,2.963,2.8422608
AHTNFIDCLDUNGG-UHFFFAOYSA-N,2.855,2.7618058,2.855,2.9320672,2.855,2.7812188,2.855,3.0093849,2.855,3.0303686,2.855,3.0244331
YQHCPFPGXODGNA-UHFFFAOYSA-N,3.109,3.0572073,3.109,3.0516732,3.109,3.1484022,3.109,3.095055,3.109,3.1214473,3.109,3.0750914
UYOGPEYADXBALN-HSGRJPLOSA-N,2.686,2.593375,2.686,2.6161005,2.686,2.6334245,2.686,2.6748378,2.686,2.6405668,2.686,2.6225665
CDXVCWWHOVCLMI-UHFFFAOYSA-N,3.243,2.921419,3.243,3.1183617,3.243,3.2513402,3.243,3.338153,3.243,3.0036705,3.243,2.821696
CJTYHNYWCLIEQQ-AVNREGSBSA-N,2.654,2.6014466,2.654,2.5843785,2.654,2.6572974,2.654,2.6120334,2.654,2.7161243,2.654,2.594179
LTJJMFIUKPFTBW-UHFFFAOYSA-N,2.802,2.770596,2.802,2.7881517,2.802,2.7933166,2.802,2.7852664,2.802,2.810839,2.802,2.6163318
DLEDMUDTQMEVHS-UHFFFAOYSA-N,2.628,2.616898,2.628,2.7355468,2.628,2.6413956,2.628,2.670885,2.628,2.6784897,2.628,2.6774096
JEYOOXPRVZFTHY-UHFFFAOYSA-N,2.249,2.1781332,2.249,2.232348,2.249,2.240309,2.249,2.3507051,2.249,2.5324228,2.249,2.408661
PWHPCLYHFZWHEO-VCVVUTNDSA-N,2.734,2.4809217,2.734,2.482752,2.734,2.6064456,2.734,2.4332519,2.734,2.567343,2.734,2.7443957
CDMALAXGJIYKDL-ACXHZZMFSA-N,2.431,2.2923372,2.431,2.5890663,2.431,2.5200374,2.431,2.5495205,2.431,2.5050857,2.431,2.5459986
DNJWZMHANCQPRP-DPVRLLIJSA-N,2.576,2.4996655,2.576,2.4370701,2.576,1.3550196,2.576,2.544462,2.576,2.6661537,2.576,2.424641
TWPIIUPHGRHMGN-RSFXEFQESA-N,2.795,2.6222672,2.795,2.7408757,2.795,2.832261,2.795,2.8098521,2.795,2.7946334,2.795,2.8745935
IXWKMPMEPUTJQF-ASMCTDGESA-N,2.847,2.5474713,2.847,2.8182428,2.847,2.6907153,2.847,2.6423743,2.847,2.7886846,2.847,2.7297964
FGTXANYHVPXHDN-DQGTYSGISA-N,2.819,2.8806129,2.819,2.8855612,2.819,2.8525984,2.819,2.873909,2.819,2.962437,2.819,2.9278302
DTDFVGJBDBFINQ-XJFJGTKVSA-N,2.859,2.6668327,2.859,3.0152457,2.859,2.9129686,2.859,2.9235718,2.859,2.9840853,2.859,3.1200097
LFGOCBFEXSFWGE-MSRYBZPSSA-N,2.741,2.7476916,2.741,2.7038894,2.741,2.6626637,2.741,2.7202275,2.741,3.0446863,2.741,2.814235
BQNHZWPUTBOTFF-QKGGVJACSA-N,2.168,2.2924404,2.168,2.2871158,2.168,2.1010578,2.168,2.231922,2.168,2.6525443,2.168,2.608068
INOYVPCWURMGHP-IJLVPHFGSA-N,2.746,2.6709616,2.746,2.6019537,2.746,2.7475052,2.746,2.6839192,2.746,2.7691338,2.746,2.7670288
RJJCZPOXFKOLAB-HCNMGLPWSA-N,2.947,2.772855,2.947,3.0232112,2.947,2.8999739,2.947,2.9954464,2.947,3.3306305,2.947,3.0959582
GUTLQAZKWRJNHJ-UHFFFAOYSA-N,2.211,2.3603363,2.211,2.5016541,2.211,2.5108204,2.211,2.3615613,2.211,2.406346,2.211,2.2858016
GHSCRAYTWCIDRP-XUEMUUJOSA-N,2.931,2.7672322,2.931,3.0260475,2.931,3.0271804,2.931,2.9703012,2.931,2.9347103,2.931,2.868213
XDSCOSVSFKMNEO-PEEYQIPOSA-N,2.229,2.4241052,2.229,2.2719643,2.229,2.3859892,2.229,2.4638891,2.229,2.4421792,2.229,2.4639168
AERBGPWVXLSURZ-NUPDHGEISA-N,3.159,3.001326,3.159,3.0032,3.159,3.1929874,3.159,3.1700091,3.159,3.106571,3.159,3.0873723
RKTWZTKXDRPILG-OWNKRRAQSA-N,2.671,2.716877,2.671,2.491735,2.671,2.5977068,2.671,2.7220192,2.671,2.770686,2.671,2.725432
JPHCZRDOOJAEFQ-VWRJOHBLSA-N,2.264,2.2304144,2.264,2.4050617,2.264,2.3531485,2.264,2.1943285,2.264,2.3929358,2.264,2.4123485
NACORTQWYUPLKU-UHFFFAOYSA-N,2.437,2.665732,2.437,2.6779869,2.437,2.5820215,2.437,2.6769304,2.437,2.466213,2.437,2.6491468
HKJZKQKCGGLDDG-NCKOTEQLSA-N,2.879,2.8747723,2.879,2.9916592,2.879,3.0648365,2.879,2.8667269,2.879,2.934056,2.879,2.9379988
AFTLBBFFFJBBTN-IURNOFKOSA-N,3.135,2.969804,3.135,3.0400436,3.135,3.1791527,3.135,2.9960477,3.135,2.9497714,3.135,2.8498635
CINVTXLSNXPPJT-UHFFFAOYSA-N,3.024,2.7185562,3.024,2.9343894,3.024,2.9875467,3.024,3.016304,3.024,2.9108481,3.024,2.960901
IWANAJXOPHGPLB-PAZNOCNKSA-N,2.906,2.8812459,2.906,3.0638251,2.906,2.9348733,2.906,2.9838638,2.906,2.9599245,2.906,3.0092874
JYEVBXPVFKAGPR-QXLLLBMBSA-N,2.343,2.3824728,2.343,2.3919635,2.343,2.2742913,2.343,2.4301186,2.343,2.496124,2.343,2.6074758
RRKWINHZQPKCJO-UHFFFAOYSA-N,2.044,2.3074067,2.044,2.1387799,2.044,2.1395926,2.044,2.2762046,2.044,2.3711414,2.044,2.3741903
NTDKJOXCNCPOQY-GCJBQRRESA-N,2.711,2.9204357,2.711,2.7802312,2.711,2.6889532,2.711,2.6996071,2.711,2.9893432,2.711,2.8537784
GLJSFEPMPLOHNV-UHFFFAOYSA-N,3.366,3.2223744,3.366,3.3269138,3.366,3.382148,3.366,3.5185485,3.366,3.351806,3.366,3.1006424
IFNONSXGJDOOPQ-UHFFFAOYSA-N,3.29,3.047038,3.29,3.221471,3.29,3.3172705,3.29,3.3216913,3.29,2.939738,3.29,2.8314974
WPSAFVWGYOZDGV-UHFFFAOYSA-N,2.309,2.259597,2.309,2.650247,2.309,2.418406,2.309,2.3738644,2.309,2.4337666,2.309,2.4241598
UAVXDUJQIGOXKE-QJOVZPHJSA-N,2.304,1.9913328,2.304,1.8994204,2.304,1.997306,2.304,1.9935663,2.304,2.174047,2.304,1.7928796
LQAMUVBRVBMYNR-UHFFFAOYSA-N,2.849,2.7377534,2.849,2.8814511,2.849,2.8973851,2.849,2.8574264,2.849,2.8311045,2.849,2.8291545
XOFVXBYHNHSHBA-YZZYENSQSA-N,2.618,2.8657928,2.618,2.4591413,2.618,2.7059216,2.618,2.646741,2.618,2.9881203,2.618,2.7362807
PQLXZGFVAJKCBD-UHFFFAOYSA-N,3.176,3.2245073,3.176,3.2940426,3.176,3.2790692,3.176,3.2102306,3.176,3.0020907,3.176,2.9959726
XZXHYYUICNFDLE-UHFFFAOYSA-N,2.807,2.5704715,2.807,2.7908485,2.807,2.7235951,2.807,2.7637,2.807,2.8279552,2.807,2.7675307
GNSVCMHOBCMRHN-IPMWUJFMSA-N,3.186,3.093091,3.186,3.1970716,3.186,3.3130403,3.186,3.0792723,3.186,3.2192485,3.186,2.9140859
FMWZVOPMNJLIMC-YNMGTFFDSA-N,3.027,2.8236926,3.027,3.009552,3.027,3.3945847,3.027,3.0796776,3.027,3.023907,3.027,2.7040465
LLCYVTGUCDNVPR-IVRDTOQISA-N,2.404,2.4573069,2.404,2.644528,2.404,2.4838064,2.404,2.4850252,2.404,2.5271256,2.404,2.552675
HMQICWIGMDHSRN-UHFFFAOYSA-N,2.959,2.754704,2.959,2.9270387,2.959,2.8893118,2.959,2.743382,2.959,2.825967,2.959,2.7871175
RGDPDCIRLYSGPV-UHVKGMENSA-N,2.856,2.8396091,2.856,2.988475,2.856,2.8547852,2.856,2.872937,2.856,2.9453871,2.856,2.9320097
SDWADBGUIQPHFF-OWJFSFLBSA-N,2.038,2.0176759,2.038,2.0695703,2.038,2.1507401,2.038,2.278257,2.038,1.9464953,2.038,2.0645146
CIDPPOOEDDZVDZ-AEVGBRMKSA-N,3.197,3.0756485,3.197,3.334535,3.197,3.3940961,3.197,3.3437605,3.197,3.3529232,3.197,3.0940623
NWCCOCZNFAPXLR-UMNNSLLGSA-N,3.298,2.8695073,3.298,3.0221574,3.298,3.2259443,3.298,3.1510818,3.298,3.0400054,3.298,3.0593407
RJDRSTHBNCPWEB-UHFFFAOYSA-N,3.081,2.6339796,3.081,2.9347432,3.081,3.043152,3.081,3.0586824,3.081,2.979441,3.081,2.8162675
GQWWYBRCVHSQID-UHFFFAOYSA-N,2.897,2.4644861,2.897,2.906643,2.897,2.8437452,2.897,2.84947,2.897,2.8466408,2.897,2.8414133
GDGPCPCARRYRIJ-UHFFFAOYSA-N,2.657,2.7391322,2.657,2.702551,2.657,2.7161143,2.657,2.7091866,2.657,3.0013657,2.657,2.8380404
SDCZRCGDTIULOS-WIUAYCEJSA-N,2.863,2.892596,2.863,2.9881346,2.863,2.9892669,2.863,2.9599156,2.863,3.068821,2.863,3.0711281
LMDODEIQPOOIGQ-UHFFFAOYSA-N,3.085,2.8978114,3.085,3.059933,3.085,3.0747032,3.085,3.012346,3.085,2.814582,3.085,2.8788302
UIPOJUUJEZOGQJ-UHFFFAOYSA-N,3.339,3.0442572,3.339,3.2746792,3.339,3.3233864,3.339,3.273555,3.339,2.9161055,3.339,2.7969558
FPZWVTZBGPVONA-UHFFFAOYSA-N,3.483,3.0109491,3.483,3.1395783,3.483,3.424233,3.483,3.2208207,3.483,3.0177374,3.483,3.0494404
SOLYULVBPHKQIR-UHFFFAOYSA-N,2.576,2.3125005,2.576,2.5279741,2.576,2.5798476,2.576,2.5496802,2.576,2.294646,2.576,2.4783044
DAYMJAAGSVNPOD-UHFFFAOYSA-N,2.95,2.7677648,2.95,3.0284765,2.95,2.88018,2.95,2.9756832,2.95,3.073482,2.95,2.9223285
YXTRBHBIITZZKR-UHFFFAOYSA-N,3.213,3.0497677,3.213,3.085642,3.213,3.2010386,3.213,3.195461,3.213,3.115477,3.213,2.9255917
ULULMEKXUNBSLU-UHFFFAOYSA-N,2.596,2.5940902,2.596,2.6373081,2.596,2.5483525,2.596,2.6525095,2.596,2.602806,2.596,2.6469245
YKQXKAFSOOHXBN-UHFFFAOYSA-N,2.66,2.598516,2.66,2.9356952,2.66,2.7368681,2.66,2.6901314,2.66,2.897285,2.66,2.8177807
KPRWWBZQBKKNHN-CPDSRJINSA-N,2.799,2.7227135,2.799,2.6897168,2.799,2.7753093,2.799,2.86286,2.799,2.843441,2.799,2.8384285
PZAYKEHMPCTRQC-UHFFFAOYSA-N,2.318,2.4998837,2.318,2.4047463,2.318,2.5540445,2.318,2.5970576,2.318,2.5931964,2.318,2.5021296
KKZUCHRSBXOBDD-UHFFFAOYSA-N,2.815,2.7118037,2.815,2.759191,2.815,2.669815,2.815,2.795753,2.815,2.7348585,2.815,2.819895
FKUDMSXCJNSDMU-UHFFFAOYSA-N,2.089,2.318507,2.089,2.4241273,2.089,2.2609015,2.089,2.3752844,2.089,2.411049,2.089,2.5199811
PTYYFCSPMNUYJF-UHFFFAOYSA-N,2.739,2.67496,2.739,2.8689573,2.739,2.8721962,2.739,2.725904,2.739,2.8902688,2.739,2.7220845
SMWGAMPSKGFHOG-UHFFFAOYSA-N,3.452,3.2039,3.452,3.3456018,3.452,3.4481235,3.452,3.4813602,3.452,3.219231,3.452,3.058119
STVNQPMMHOFZJO-UHFFFAOYSA-N,3.326,3.2249992,3.326,3.3920863,3.326,3.2698429,3.326,3.3842645,3.326,3.3060515,3.326,3.1881223
ORYMSAQOVHZHOI-BNMWABLISA-N,2.893,2.891134,2.893,2.819885,2.893,2.8756533,2.893,2.8753314,2.893,2.8333733,2.893,2.989975
