,PaiNN_true_ES1,PaiNN_pred_ES1,SchNet_true_ES1,SchNet_pred_ES1,Equiformer_true_ES1,Equiformer_pred_ES1,SphereNet_true_ES1,SphereNet_pred_ES1,DimeNetPlusPlus_true_ES1,DimeNetPlusPlus_pred_ES1,DimeNet_true_ES1,DimeNet_pred_ES1
WSDRRVHNZHTCPC-UHFFFAOYSA-N,2.939,2.8228343,2.939,2.8141057,2.939,2.8182552,2.939,2.7969985,2.939,2.819628,2.939,2.8434808
VWBHJLDONGTLOW-PMNVOCJDSA-N,2.464,2.8171773,2.464,2.8160641,2.464,2.814389,2.464,2.797014,2.464,2.8176086,2.464,2.7885034
MWZNDVQMGBJIEW-UHFFFAOYSA-N,3.22,2.8275585,3.22,2.8169212,3.22,2.815596,3.22,2.7970035,3.22,2.8267398,3.22,2.8388636
OGNORBRRQGXASD-SBOZQXGNSA-N,3.219,2.8283534,3.219,2.8176265,3.219,2.816039,3.219,2.7970164,3.219,2.8259685,3.219,2.9300673
FRHHAMBDXUKNPD-UHFFFAOYSA-N,3.174,2.8271506,3.174,2.8289895,3.174,2.813313,3.174,2.7969904,3.174,2.830328,3.174,2.8673854
NHLCRUVTOBPRFU-SNDAAJCPSA-N,2.761,2.822987,2.761,2.8141508,2.761,2.816506,2.761,2.7969942,2.761,2.8256974,2.761,2.8020191
RFKMGGZQGKJCJN-UHFFFAOYSA-N,3.113,2.8244832,3.113,2.8156826,3.113,2.8150198,3.113,2.7970364,3.113,2.8244512,3.113,2.8087535
ZVLYJWLHHLBSMX-UHFFFAOYSA-N,2.232,2.8243227,2.232,2.8267171,2.232,2.8143742,2.232,2.7970014,2.232,2.827253,2.232,2.862894
XGRCDGIDFMISRQ-UHFFFAOYSA-N,2.87,2.829024,2.87,2.8176005,2.87,2.8180845,2.87,2.797012,2.87,2.824972,2.87,2.8880465
KDOOPFGCYHTGEP-UODXMUSUSA-N,2.608,2.8252246,2.608,2.8166583,2.608,2.8164392,2.608,2.7970204,2.608,2.8231113,2.608,2.992404
MNOILLXRBWPINL-UHFFFAOYSA-N,2.148,2.820906,2.148,2.8152053,2.148,2.814457,2.148,2.7970033,2.148,2.8292217,2.148,2.8184006
MKSVWBNVJTYMDJ-CZICJZSCSA-N,2.597,2.825721,2.597,2.8188107,2.597,2.8167052,2.597,2.7969995,2.597,2.8252475,2.597,2.880743
KBSMTWNTTKBQLV-WUDPCJPZSA-N,2.946,2.8265681,2.946,2.8183358,2.946,2.816158,2.946,2.7970011,2.946,2.8266313,2.946,2.9611065
YWODPEFQWBLSFE-JBQSXSRFSA-N,2.571,2.8293762,2.571,2.818587,2.571,2.8150501,2.571,2.7970212,2.571,2.8307812,2.571,2.9167218
WDTYOFJXZNPSPC-NZUYDYINSA-N,2.665,2.8215256,2.665,2.817008,2.665,2.8153813,2.665,2.7970316,2.665,2.822752,2.665,2.7520237
LSVSYMURNJGNJH-QNVXDBMFSA-N,2.693,2.8252335,2.693,2.8163812,2.693,2.8156073,2.693,2.7970147,2.693,2.8252525,2.693,2.908239
VZVKBZIGSCFCDR-FLTIVVEQSA-N,2.386,2.8284743,2.386,2.8174276,2.386,2.8156533,2.386,2.796986,2.386,2.8279195,2.386,2.8186903
LOKOETUCCAUAAI-UHFFFAOYSA-N,3.063,2.8247886,3.063,2.8145595,3.063,2.815431,3.063,2.7970035,3.063,2.8243794,3.063,2.8271585
CBWWKITVMZAGPN-TXYSOMCGSA-N,2.458,2.8290577,2.458,2.8171232,2.458,2.8174856,2.458,2.797017,2.458,2.823785,2.458,2.7969697
DQLRSIVKOWTCQP-UHFFFAOYSA-N,3.202,2.8263915,3.202,2.8183765,3.202,2.816609,3.202,2.7970088,3.202,2.8231494,3.202,2.9636834
ACUWZGMGVVFXJY-ZJPIGYMHSA-N,3.335,2.814238,3.335,2.816064,3.335,2.8155763,3.335,2.797034,3.335,2.817313,3.335,2.7907689
BNGRORZXVDALFK-UHFFFAOYSA-N,2.277,2.8241622,2.277,2.8167229,2.277,2.8140113,2.277,2.7969995,2.277,2.8300107,2.277,2.786606
WVCHVIAALKRTBZ-MSBZLEGESA-N,3.006,2.8243673,3.006,2.8187099,3.006,2.814583,3.006,2.7970016,3.006,2.8248644,3.006,2.957671
ZPVBBXYIVLCVGF-HYYKAVFWSA-N,3.3,2.829628,3.3,2.8208566,3.3,2.8145285,3.3,2.7970264,3.3,2.8276408,3.3,2.9063292
NBEZZLNZJMZZGM-WONLUPPJSA-N,0.02,2.82877,0.02,2.8182862,0.02,2.817743,0.02,2.7970433,0.02,2.8234742,0.02,2.7971768
IUANDLBFFXJAFA-NJODKVRKSA-N,2.934,2.8299675,2.934,2.8150432,2.934,2.8179755,2.934,2.79699,2.934,2.8250947,2.934,2.9526887
AZGSIOSKMCYNFL-CEOZETRISA-N,2.155,2.827368,2.155,2.8142521,2.155,2.818216,2.155,2.797011,2.155,2.8251338,2.155,2.8830035
FBGMGPXNWWXJBC-LQIFJAKZSA-N,3.797,2.8280175,3.797,2.817286,3.797,2.8164377,3.797,2.7970243,3.797,2.8271174,3.797,2.7469156
UAEXFHQQMBOTJX-WYMKRNKVSA-N,2.891,2.8224144,2.891,2.8148263,2.891,2.8170047,2.891,2.7970054,2.891,2.8193111,2.891,2.8040843
UBGFKOZIYCXDLZ-STWURFKKSA-N,2.92,2.8220465,2.92,2.8166463,2.92,2.817294,2.92,2.7969947,2.92,2.8211687,2.92,2.786142
NMBNROKIWXHVQH-UHFFFAOYSA-N,3.236,2.8242838,3.236,2.8154182,3.236,2.814328,3.236,2.796989,3.236,2.8384738,3.236,2.7937524
NCKHECLIWPEQAH-WUPZXUSPSA-N,2.73,2.828131,2.73,2.8179271,2.73,2.8163872,2.73,2.7969923,2.73,2.8221545,2.73,2.777811
USXOQCFZMBVUML-UHFFFAOYSA-N,3.064,2.8268595,3.064,2.8239484,3.064,2.8130481,3.064,2.7969668,3.064,2.8414712,3.064,2.864359
MTVOSIASSYPCDO-NNOOIMGWSA-N,2.975,2.8209248,2.975,2.81888,2.975,2.8144116,2.975,2.7970316,2.975,2.8228319,2.975,2.9484549
RRVMHLZZUMPHQI-UHFFFAOYSA-N,2.885,2.8190997,2.885,2.8139951,2.885,2.814114,2.885,2.7970016,2.885,2.8225486,2.885,2.8138037
VXWMCQIFXOZRKW-BQIMNVTISA-N,2.255,2.8248181,2.255,2.8173501,2.255,2.8151462,2.255,2.7970057,2.255,2.8243637,2.255,2.840383
IEOOGAGJBSRNRR-UHFFFAOYSA-N,3.018,2.822494,3.018,2.8159091,3.018,2.8153656,3.018,2.7970302,3.018,2.8222873,3.018,2.834268
SARIOOCZSXPXEZ-BBVUHRLSSA-N,3.11,2.8215368,3.11,2.8186963,3.11,2.8155372,3.11,2.7969737,3.11,2.839878,3.11,2.8856115
KWCFHKUNLXQGKA-GFDBJVIDSA-N,2.217,2.823914,2.217,2.8139074,2.217,2.8174837,2.217,2.7970295,2.217,2.8195777,2.217,2.9523163
XEQYXTDFXKIQSZ-UHFFFAOYSA-N,3.343,2.8277416,3.343,2.8197584,3.343,2.8150263,3.343,2.7969968,3.343,2.8215446,3.343,2.8753426
DIMNYMAMRYZYDM-BKXRPKJNSA-N,2.682,2.82381,2.682,2.818379,2.682,2.816571,2.682,2.7970304,2.682,2.8249402,2.682,2.9676123
HRNZYKCSYDUSDR-UHFFFAOYSA-N,2.219,2.8188012,2.219,2.8180406,2.219,2.8126006,2.219,2.7970269,2.219,2.8243518,2.219,2.7919571
QRUAHINMDMLCCF-CXVMZADYSA-N,2.237,2.828045,2.237,2.8173697,2.237,2.81692,2.237,2.797003,2.237,2.8234682,2.237,2.792958
WFCFHPVXNLQKTB-CUTGMMHNSA-N,2.97,2.8269835,2.97,2.8154457,2.97,2.8177743,2.97,2.7970145,2.97,2.8249917,2.97,3.0488482
OMXCWDKJTAMLGA-UHFFFAOYSA-N,2.357,2.8267517,2.357,2.8267057,2.357,2.8137684,2.357,2.797008,2.357,2.8295276,2.357,2.84478
IJZIREJIRPVHSG-UHFFFAOYSA-N,2.769,2.8249645,2.769,2.8176153,2.769,2.8158708,2.769,2.797009,2.769,2.8238215,2.769,2.8825564
NCMHPJUELWUQPY-UHFFFAOYSA-N,2.385,2.8228362,2.385,2.821795,2.385,2.81433,2.385,2.7969935,2.385,2.8255272,2.385,2.8459694
XDDOGARTAGHTOE-UHFFFAOYSA-N,2.591,2.8234723,2.591,2.8191185,2.591,2.8135104,2.591,2.796999,2.591,2.8278673,2.591,2.8240094
KOIPRVRNABYORG-KVLYFZCPSA-N,3.162,2.8260353,3.162,2.819396,3.162,2.8160796,3.162,2.7970092,3.162,2.8233492,3.162,2.9347296
FJIFTWPQKWNOLY-UHFFFAOYSA-N,2.767,2.8204281,2.767,2.8170843,2.767,2.814041,2.767,2.797017,2.767,2.8264232,2.767,2.8218718
ORLQBABCQSOULU-UHFFFAOYSA-N,2.565,2.8271415,2.565,2.8156104,2.565,2.8172324,2.565,2.7970238,2.565,2.8236372,2.565,2.8418672
LXFFQIAAELJJMJ-UHFFFAOYSA-N,2.205,2.830171,2.205,2.8156116,2.205,2.8177059,2.205,2.796978,2.205,2.825995,2.205,2.8559215
JVNBZIDYEQOATB-FUSGEDHXSA-N,2.952,2.8220892,2.952,2.8162322,2.952,2.816808,2.952,2.7970216,2.952,2.8235824,2.952,2.8255732
BOWVUVKUWOXHBK-UHFFFAOYSA-N,2.549,2.8229423,2.549,2.8174288,2.549,2.8143096,2.549,2.7969985,2.549,2.8301337,2.549,2.8048294
ONYKPDCDUSZXOP-UHFFFAOYSA-N,2.537,2.8291402,2.537,2.816169,2.537,2.817552,2.537,2.7970397,2.537,2.8233619,2.537,2.8624408
ZIKIEVJGDKWLTN-UHFFFAOYSA-N,3.192,2.8192868,3.192,2.8123195,3.192,2.815668,3.192,2.7970037,3.192,2.8239439,3.192,2.7989795
