,PaiNN_true_ES1,PaiNN_pred_ES1,SchNet_true_ES1,SchNet_pred_ES1,Equiformer_true_ES1,Equiformer_pred_ES1,SphereNet_true_ES1,SphereNet_pred_ES1,DimeNetPlusPlus_true_ES1,DimeNetPlusPlus_pred_ES1,DimeNet_true_ES1,DimeNet_pred_ES1
VZNBADQFFOBKBZ-UHFFFAOYSA-N,2.881,2.8078341,2.881,2.8027196,2.881,2.813125,2.881,2.8117943,2.881,2.8233414,2.881,2.9192128
HWOXHRXDDCWVNP-VRHVFUOLSA-N,2.233,2.8063037,2.233,2.8168743,2.233,2.811267,2.233,2.8117948,2.233,2.8186038,2.233,2.929973
DIXUGGTXFBGJKI-CEOZETRISA-N,3.4,2.8187208,3.4,2.8260849,3.4,2.8296866,3.4,2.8117929,3.4,2.8172567,3.4,2.9520776
DMGGBWROUOLAMQ-JMVBYTIWSA-N,2.466,2.8131135,2.466,2.8218014,2.466,2.816544,2.466,2.811794,2.466,2.808024,2.466,2.9465795
AHTNFIDCLDUNGG-UHFFFAOYSA-N,3.107,2.8137898,3.107,2.821608,3.107,2.8198175,3.107,2.8117929,3.107,2.8122146,3.107,2.8507547
LZSDBWGXSGDBCH-AKERKRSRSA-N,2.469,2.8104625,2.469,2.8240669,2.469,2.813768,2.469,2.8117929,2.469,2.8079505,2.469,2.8567169
AHRYFCWBSGDUDB-XOHWUJONSA-N,2.659,2.8099632,2.659,2.8320627,2.659,2.8136742,2.659,2.8117962,2.659,2.824245,2.659,2.8124435
PFAPLRVTFCZQDQ-UHFFFAOYSA-N,2.413,2.8116508,2.413,2.8009515,2.413,2.8154418,2.413,2.8117933,2.413,2.8267672,2.413,2.8907578
HOIQNTNVKUZNHR-UHFFFAOYSA-N,2.705,2.806342,2.705,2.8247125,2.705,2.8092158,2.705,2.8117933,2.705,2.830967,2.705,2.863109
IJUKJBQSPRBKSO-FPNCMRKBSA-N,2.794,2.8192,2.794,2.8297431,2.794,2.8303514,2.794,2.8117926,2.794,2.8136582,2.794,3.0589886
VGOQYAKFDHHWBC-UHFFFAOYSA-N,2.392,2.8149104,2.392,2.8166509,2.392,2.823168,2.392,2.8117929,2.392,2.8160272,2.392,2.9346645
RKIKNTZUEPLLKA-FQMQUDOMSA-N,2.499,2.8177724,2.499,2.8362145,2.499,2.8292818,2.499,2.8117926,2.499,2.8276098,2.499,3.321412
NTWVNNJQYLLEDG-FIIZHFTISA-N,2.889,2.8157797,2.889,2.7905052,2.889,2.8199756,2.889,2.8117929,2.889,2.805383,2.889,2.8446853
KCASTXAHIVDCDW-UHFFFAOYSA-N,3.008,2.8160307,3.008,2.8116825,3.008,2.8214376,3.008,2.8117933,3.008,2.8117185,3.008,2.7768285
WPOMUDNAAMCXGU-UHFFFAOYSA-N,3.386,2.8211634,3.386,2.8197355,3.386,2.8311372,3.386,2.811793,3.386,2.8198776,3.386,2.8500462
NJXJWBXLDAKINU-UVJRJONQSA-N,3.275,2.8152275,3.275,2.8122888,3.275,2.822065,3.275,2.8117936,3.275,2.8344564,3.275,3.095955
FEODUVZBULMCKU-KOGPYNQTSA-N,3.554,2.8126044,3.554,2.820765,3.554,2.819272,3.554,2.8117926,3.554,2.80369,3.554,3.158688
AZSRHCMRZYWJKX-UHFFFAOYSA-N,2.976,2.8103771,2.976,2.751642,2.976,2.8143785,2.976,2.8117933,2.976,2.8139896,2.976,2.8827944
KIKOMTSGASGCBP-KQVYWWJVSA-N,2.179,2.81676,2.179,2.8243957,2.179,2.8219404,2.179,2.8117933,2.179,2.80436,2.179,2.8614626
HMMYOIMWPPBRCY-UHFFFAOYSA-N,2.969,2.809344,2.969,2.8204064,2.969,2.8153238,2.969,2.8117938,2.969,2.8270998,2.969,2.9241452
ZMFOPXBMEIFDIP-UHFFFAOYSA-N,2.133,2.8086994,2.133,2.801391,2.133,2.8149474,2.133,2.811793,2.133,2.8159277,2.133,2.8755312
IDQPWCQBPOPOTR-BQSYMNMBSA-N,3.102,2.8156767,3.102,2.826906,3.102,2.8227363,3.102,2.8117938,3.102,2.8177896,3.102,2.8300345
HBEFNBXBNPBHIA-OWIHLRRYSA-N,2.566,2.8091922,2.566,2.7993526,2.566,2.8121974,2.566,2.811793,2.566,2.8191261,2.566,3.0199172
PNSBTTDPSPYOND-YGIVAETPSA-N,2.648,2.8189063,2.648,2.8258636,2.648,2.8297825,2.648,2.8117938,2.648,2.8276227,2.648,2.9392288
UNDUDXYRGSWTDX-UHFFFAOYSA-N,2.92,2.803554,2.92,2.799185,2.92,2.8098104,2.92,2.8117929,2.92,2.8327885,2.92,2.9569888
LLYWZGPDRAYOHW-WOCONCHDSA-N,2.374,2.8153725,2.374,2.826266,2.374,2.8233426,2.374,2.811793,2.374,2.8193092,2.374,3.1959481
YKPOARNRBSFMGF-RFZQBVGLSA-N,2.384,2.8136876,2.384,2.8116996,2.384,2.817882,2.384,2.8117929,2.384,2.8089075,2.384,3.0571725
TYSZUPPZJSXTAC-UHFFFAOYSA-N,2.153,2.8073092,2.153,2.8081543,2.153,2.810066,2.153,2.8117929,2.153,2.8216999,2.153,2.8706474
XIJZGIBVHHQYNQ-UHFFFAOYSA-N,1.787,2.8202708,1.787,2.8329754,1.787,2.83031,1.787,2.8117938,1.787,2.817626,1.787,2.829539
BJSNXJCMCRJUNA-TWONTIFPSA-N,2.844,2.8195114,2.844,2.8305135,2.844,2.8302495,2.844,2.8117926,2.844,2.8366528,2.844,3.0665944
XBFAUQLZYCSGGI-UHFFFAOYSA-N,2.856,2.8212795,2.856,2.805289,2.856,2.8296309,2.856,2.8117921,2.856,2.8175488,2.856,2.8193588
RYJKPXBAVXYYHD-UHFFFAOYSA-N,2.54,2.8047757,2.54,2.7756474,2.54,2.8078494,2.54,2.8117933,2.54,2.8127704,2.54,2.8087974
WYXGPFGUPSQYTG-BVRYETBDSA-N,2.335,2.8151784,2.335,2.8209167,2.335,2.8228343,2.335,2.8117933,2.335,2.822519,2.335,2.9202096
YFDOUQSZHVPHKM-NPEQHDRISA-N,2.553,2.8085256,2.553,2.8089056,2.553,2.8139544,2.553,2.811793,2.553,2.8167539,2.553,2.8785827
MKPIYKCTDHZLKX-UHFFFAOYSA-N,2.7,2.8050835,2.7,2.7970135,2.7,2.8084931,2.7,2.811793,2.7,2.8118725,2.7,2.8429677
HBFIEVKUIYAISR-UHFFFAOYSA-N,2.911,2.800465,2.911,2.8074012,2.911,2.805727,2.911,2.8117929,2.911,2.8184037,2.911,2.8175652
NEVXMHYGNIYSNL-FWBDCHAOSA-N,2.931,2.8072317,2.931,2.8294609,2.931,2.812608,2.931,2.8117943,2.931,2.8170166,2.931,2.844778
BDCHHWNKAUQFHV-UHFFFAOYSA-N,3.148,2.7969675,3.148,2.8186083,3.148,2.8028214,3.148,2.811793,3.148,2.8169055,3.148,2.859927
KNGQQMACHUBRSH-POHGQRKGSA-N,2.881,2.8066616,2.881,2.8108788,2.881,2.8123639,2.881,2.8117929,2.881,2.8132148,2.881,2.927885
XRAIOMLLCXRQLE-UHFFFAOYSA-N,2.561,2.808843,2.561,2.8065813,2.561,2.811869,2.561,2.8117938,2.561,2.8199973,2.561,2.8013048
IXAURIABZIYBQC-TVHLTLAGSA-N,2.401,2.8181703,2.401,2.8351254,2.401,2.830995,2.401,2.8117926,2.401,2.818107,2.401,2.9980674
LCKUWSLACNQRLO-GHEHPCIESA-N,2.366,2.8170938,2.366,2.8308868,2.366,2.825941,2.366,2.8117933,2.366,2.8272853,2.366,2.9490705
NPGACGPNZWKKPA-UHFFFAOYSA-N,2.402,2.8006177,2.402,2.785604,2.402,2.8048275,2.402,2.811793,2.402,2.8090267,2.402,2.8390524
IJCDLHHADVDURL-UHFFFAOYSA-N,2.751,2.8121295,2.751,2.8049717,2.751,2.8172593,2.751,2.8117936,2.751,2.8146853,2.751,2.8776376
GZYSKAADECQOJQ-UHFFFAOYSA-N,2.649,2.8064322,2.649,2.8106694,2.649,2.8085725,2.649,2.8117929,2.649,2.8184266,2.649,2.8646202
RZXWEFIEJAIICM-CHKJVBLHSA-N,3.121,2.8172994,3.121,2.8213353,3.121,2.8254623,3.121,2.8117933,3.121,2.823893,3.121,2.775568
BXCIVPHNVQJALJ-KVLYFZCPSA-N,2.498,2.8129382,2.498,2.823968,2.498,2.819474,2.498,2.8117929,2.498,2.8187613,2.498,2.9026709
NWAPYGKMWIPVKS-UHFFFAOYSA-N,2.976,2.8137012,2.976,2.7890053,2.976,2.818687,2.976,2.8117938,2.976,2.828864,2.976,2.9102392
LCAFBIKDSWNBEH-NOZFPZSGSA-N,2.973,2.8169603,2.973,2.8346555,2.973,2.826518,2.973,2.811793,2.973,2.8276987,2.973,3.283426
KGBUNEJTQJWIJI-UHFFFAOYSA-N,3.156,2.814393,3.156,2.8218188,3.156,2.8202443,3.156,2.8117929,3.156,2.8109126,3.156,2.8856204
AECGAOQPYDAMJY-UHFFFAOYSA-N,2.334,2.812369,2.334,2.8239608,2.334,2.8171194,2.334,2.8117952,2.334,2.8175035,2.334,2.8670545
NMBSJDCVFXEYGQ-UHFFFAOYSA-N,2.53,2.8054638,2.53,2.8029056,2.53,2.8068619,2.53,2.811793,2.53,2.8096342,2.53,2.8195448
ULGMVSHDDNOBDF-GJEWFSSOSA-N,3.218,2.8143902,3.218,2.8145285,3.218,2.8196912,3.218,2.8117926,3.218,2.8058894,3.218,2.873179
ONSCGZOAKIWPPY-UHFFFAOYSA-N,3.217,2.8111072,3.217,2.789886,3.217,2.8148975,3.217,2.8117938,3.217,2.8120637,3.217,2.8910658
MPNXSPJWCMWLAX-UHFFFAOYSA-N,2.494,2.8149114,2.494,2.8105168,2.494,2.8282454,2.494,2.8117955,2.494,2.8198166,2.494,2.9209452
IOFNXLAWFWWOAU-UHFFFAOYSA-N,2.848,2.8195126,2.848,2.8278189,2.848,2.828401,2.848,2.811793,2.848,2.8128576,2.848,2.9721448
XOFKJLNWVBLNKB-URFZTJQDSA-N,3.203,2.8183842,3.203,2.8231196,3.203,2.8258147,3.203,2.811793,3.203,2.8103209,3.203,2.7508152
HRWCVKSBCHBXLH-UHFFFAOYSA-N,3.047,2.7991536,3.047,2.8097506,3.047,2.8030849,3.047,2.8117929,3.047,2.8149555,3.047,2.8131254
GOXKDMGATCIKCV-UHFFFAOYSA-N,2.943,2.8043149,2.943,2.8202398,2.943,2.8082151,2.943,2.811793,2.943,2.8269818,2.943,2.7965798
PYCOIQJQXIWSOR-KDZXUKRRSA-N,3.217,2.8141947,3.217,2.799718,3.217,2.8205109,3.217,2.8117929,3.217,2.8236823,3.217,3.0495398
CSDUDCLJWMWHEY-UHFFFAOYSA-N,3.062,2.804951,3.062,2.8169146,3.062,2.805685,3.062,2.811793,3.062,2.8217254,3.062,2.873231
ZHGWNSWYHRMBAV-UHFFFAOYSA-N,2.751,2.8138757,2.751,2.8132741,2.751,2.8198247,2.751,2.8117938,2.751,2.8215802,2.751,2.8635266
FOVMLDFORMOCCM-UHFFFAOYSA-N,2.692,2.8117218,2.692,2.7929633,2.692,2.8154743,2.692,2.8117933,2.692,2.8265128,2.692,2.8857713
QWRANBZUFJIRTC-AUMMYWAVSA-N,2.616,2.8101287,2.616,2.811831,2.616,2.8130453,2.616,2.8117926,2.616,2.8208234,2.616,3.2208126
MQNIEMUIHVLYAT-UHFFFAOYSA-N,2.719,2.803321,2.719,2.7978687,2.719,2.8096118,2.719,2.8117936,2.719,2.8219206,2.719,2.9111228
BATGJWGTSRJDAL-IDDSJQTQSA-N,2.994,2.8172073,2.994,2.791817,2.994,2.823978,2.994,2.8117938,2.994,2.8105536,2.994,2.9376125
OBHJDNUAJGBWLV-OJYCWLPVSA-N,2.29,2.811389,2.29,2.8138382,2.29,2.8167477,2.29,2.8117929,2.29,2.8218913,2.29,2.7898927
GGGJEFUQVAJLRS-VYYCAZPPSA-N,2.732,2.8057842,2.732,2.7864668,2.732,2.8122566,2.732,2.8117929,2.732,2.8146462,2.732,2.807062
BLRSUUDCCASNTJ-WISDOUASSA-N,2.883,2.81878,2.883,2.8232603,2.883,2.828018,2.883,2.8117936,2.883,2.8090785,2.883,2.857717
PVESPQCKYDOPRR-UHFFFAOYSA-N,2.435,2.8144255,2.435,2.8190303,2.435,2.818621,2.435,2.8117926,2.435,2.8297,2.435,3.0095606
QISOTAMPBSZDRJ-UHFFFAOYSA-N,2.789,2.8186965,2.789,2.7910678,2.789,2.8265889,2.789,2.8117952,2.789,2.803389,2.789,2.8634458
IOENZZWHVDEWHW-UHFFFAOYSA-N,2.673,2.8047905,2.673,2.8034492,2.673,2.8103116,2.673,2.8117929,2.673,2.8209262,2.673,2.7426531
AABSIPRVHDVPNW-YOQXFLPNSA-N,3.307,2.8169136,3.307,2.8183205,3.307,2.8221414,3.307,2.8117926,3.307,2.811174,3.307,3.2976034
VZOFUKYBPBZFHP-UHFFFAOYSA-N,2.83,2.8002257,2.83,2.808034,2.83,2.8062875,2.83,2.8117933,2.83,2.8097076,2.83,2.9146886
RWRKXAHKMKAQDN-UHFFFAOYSA-N,3.11,2.7987185,3.11,2.8201177,3.11,2.8055913,3.11,2.8117943,3.11,2.8166876,3.11,2.8721275
MXCOOVTUXDAODY-OSXFEUIISA-N,2.692,2.7992837,2.692,2.8048875,2.692,2.8047516,2.692,2.8117926,2.692,2.8097444,2.692,3.2817495
JYRXBVDXNGXSAG-UHFFFAOYSA-N,2.914,2.8061514,2.914,2.7702897,2.914,2.8110836,2.914,2.8117933,2.914,2.8168225,2.914,2.9180946
SMKIJLWUOBPFHD-CRCOQUFZSA-N,2.447,2.8146033,2.447,2.8008683,2.447,2.820197,2.447,2.8117948,2.447,2.8181245,2.447,3.09747
XGJAXSPQKWMXFI-MNNVSQGDSA-N,2.501,2.8167717,2.501,2.8267946,2.501,2.8265624,2.501,2.811793,2.501,2.8156505,2.501,3.3794022
LBXOGLDXGSJNQN-CBTMPICCSA-N,2.788,2.8181381,2.788,2.8255079,2.788,2.8244355,2.788,2.8117936,2.788,2.801457,2.788,3.203745
AHEXZOLQODLVNW-UHFFFAOYSA-N,2.422,2.8039079,2.422,2.8109865,2.422,2.8059235,2.422,2.8117936,2.422,2.824736,2.422,2.841136
FPYYAGFJWPPWPX-GZEDZHJWSA-N,2.624,2.8196244,2.624,2.797189,2.624,2.8271778,2.624,2.8117924,2.624,2.8171067,2.624,2.8238673
JTHGWRFNKGIZES-JEZXGWKESA-N,3.102,2.8153262,3.102,2.8265023,3.102,2.8213217,3.102,2.8117936,3.102,2.8039355,3.102,2.7716982
OYGBWRPWKCLCRY-UHFFFAOYSA-N,2.336,2.8117537,2.336,2.8026662,2.336,2.8161924,2.336,2.8117936,2.336,2.816073,2.336,2.8282447
ILZPLTMPVXKMAT-AOJZPQQRSA-N,2.516,2.8115418,2.516,2.8203528,2.516,2.8172631,2.516,2.811793,2.516,2.82732,2.516,2.7897532
ROOSSVWRVFSLQG-UHFFFAOYSA-N,3.028,2.8083134,3.028,2.8163157,3.028,2.812941,3.028,2.8117952,3.028,2.8142118,3.028,2.9918044
QPUDZXQGCZRUBJ-UHFFFAOYSA-N,2.666,2.8158152,2.666,2.8289514,2.666,2.8184066,2.666,2.8117929,2.666,2.818206,2.666,2.7882142
XEQNJQHODVJZJG-OPBZITNTSA-N,2.88,2.8183131,2.88,2.8057005,2.88,2.8282595,2.88,2.8117926,2.88,2.803507,2.88,2.885577
GFVNRGMQEPIYLI-UHFFFAOYSA-N,3.04,2.806354,3.04,2.8108032,3.04,2.8132236,3.04,2.811793,3.04,2.824061,3.04,2.783613
VJLFHIQQZNCRGR-ULTCKKPSSA-N,2.85,2.8187025,2.85,2.837688,2.85,2.8307905,2.85,2.8117929,2.85,2.8262217,2.85,3.0300124
HACHNTIJSDKDPG-SUHDNODLSA-N,2.204,2.8214383,2.204,2.8325574,2.204,2.8306868,2.204,2.8117933,2.204,2.812801,2.204,2.9311388
NIIRWRWQBLXCNJ-UHFFFAOYSA-N,3.131,2.8108156,3.131,2.748287,3.131,2.81287,3.131,2.8117938,3.131,2.828625,3.131,2.8994384
NYOBEHIUYMUBNE-UHFFFAOYSA-N,3.376,2.811904,3.376,2.74751,3.376,2.814804,3.376,2.8117943,3.376,2.812567,3.376,2.7870958
ROJYJPVOZBBZPX-OJXSJGEGSA-N,2.645,2.818567,2.645,2.8261282,2.645,2.8281722,2.645,2.811793,2.645,2.8184757,2.645,3.2048092
MZWVTXDGGRMCRB-PFPNTSFYSA-N,2.668,2.8177843,2.668,2.8075812,2.668,2.8276694,2.668,2.811793,2.668,2.8196125,2.668,2.852256
NAZAMYJEHZSKDP-QKKLIGRUSA-N,2.463,2.8166423,2.463,2.81631,2.463,2.8276262,2.463,2.8117929,2.463,2.8050892,2.463,2.8269985
NWKQYLGVFFABAY-UHFFFAOYSA-N,2.617,2.8208327,2.617,2.8204165,2.617,2.8305576,2.617,2.8117936,2.617,2.8174968,2.617,2.7723222
