,PaiNN_true_ES1,PaiNN_pred_ES1,SchNet_true_ES1,SchNet_pred_ES1,Equiformer_true_ES1,Equiformer_pred_ES1,SphereNet_true_ES1,SphereNet_pred_ES1,DimeNetPlusPlus_true_ES1,DimeNetPlusPlus_pred_ES1,DimeNet_true_ES1,DimeNet_pred_ES1
JFCZQBDIHCIATF-CEUNXORHSA-N,3.109,2.827145,3.109,2.8143306,3.109,2.8032925,3.109,2.7998507,3.109,2.7338967,3.109,2.722829
AMRNMLLVDWMLPT-RIDPHKLGSA-N,2.684,2.8251355,2.684,2.8138,2.684,2.8050299,2.684,2.7998524,2.684,2.8135512,2.684,2.7216494
PZTGFWHKUIQMKF-GHSSESAYSA-N,3.335,2.8173685,3.335,2.8129685,3.335,2.808161,3.335,2.7998545,3.335,2.7827249,3.335,2.7604818
JANOSVOEAATZOT-UNOVCGRKSA-N,3.063,2.8166049,3.063,2.8108742,3.063,2.802447,3.063,2.7998545,3.063,2.6766753,3.063,2.7604165
FUFSBFDFJRTMSE-YEMODGCVSA-N,2.62,2.8189955,2.62,2.8126435,2.62,2.8052728,2.62,2.7998507,2.62,2.7892659,2.62,2.6948478
NWOQDKTWHAZJJC-PHZVCHTISA-N,3.125,2.8125582,3.125,2.8120968,3.125,2.806861,3.125,2.7998528,3.125,2.7471719,3.125,2.6729567
KDQKPMZALMCBGV-AISIXCNMSA-N,3.205,2.828409,3.205,2.8156474,3.205,2.8042881,3.205,2.7998588,3.205,2.661612,3.205,2.6686869
PUQJJIJUDILDAT-VMINOQCHSA-N,2.988,2.8107862,2.988,2.8122349,2.988,2.8072085,2.988,2.7998533,2.988,2.8291094,2.988,2.697207
VMKZKHHAFHNVKQ-SOKJZAOGSA-N,2.577,2.8166769,2.577,2.8120117,2.577,2.8090074,2.577,2.799853,2.577,2.7873075,2.577,2.705899
QVUBQAABAUZWCP-MNMXINIASA-N,2.25,2.8126097,2.25,2.8125653,2.25,2.8065307,2.25,2.7998538,2.25,2.6504412,2.25,2.7188013
FXJRKKWGPMDMNX-AWZTXXHUSA-N,2.297,2.8199766,2.297,2.8136845,2.297,2.8034084,2.297,2.7998586,2.297,2.4665184,2.297,2.6316395
ZAHVQFALBLXHMR-VKVKMMGJSA-N,3.021,2.8144612,3.021,2.809154,3.021,2.8036697,3.021,2.7998493,3.021,2.783704,3.021,2.8448398
UBAKYISIZBUTQL-DXJXZAMXSA-N,2.857,2.8134956,2.857,2.8104315,2.857,2.8103492,2.857,2.7998462,2.857,2.8157432,2.857,2.7749193
FQWZOVXUQYQTOI-HALUSWCOSA-N,2.56,2.8303435,2.56,2.809048,2.56,2.8035357,2.56,2.799855,2.56,2.6049163,2.56,2.8396256
SQQMTAOAQMMTBP-KOTRDPTLSA-N,2.711,2.8134909,2.711,2.8149457,2.711,2.8111231,2.711,2.7998512,2.711,2.765101,2.711,2.7660713
FCEXKZRSYPEJAX-NNRJCLOKSA-N,2.044,2.8043318,2.044,2.808298,2.044,2.8091805,2.044,2.7998462,2.044,2.8539395,2.044,2.7684677
PSKRFTUSUMARFT-AMVVHIIESA-N,3.168,2.823986,3.168,2.8130925,3.168,2.8023243,3.168,2.7998552,3.168,2.5634243,3.168,2.5880282
USLBNZBMRDOMBQ-GZOMZLSJSA-N,2.317,2.8111045,2.317,2.8047233,2.317,2.810248,2.317,2.799844,2.317,2.8031764,2.317,2.7881672
ZOLJQDUSFOZRKC-YDUMJGBBSA-N,2.679,2.8193898,2.679,2.8137257,2.679,2.8044076,2.679,2.7998571,2.679,2.452959,2.679,2.6184392
MADRJFYJLYQHEA-RHGCBHBOSA-N,3.11,2.8172498,3.11,2.8109708,3.11,2.807755,3.11,2.799849,3.11,2.7147975,3.11,2.6825585
VHOKVHNVZFZNTH-VELHHZLESA-N,2.549,2.8224823,2.549,2.8121636,2.549,2.8043327,2.549,2.7998552,2.549,2.6088097,2.549,2.7790473
LCHIVLIYSTWFSF-AQAGRAQRSA-N,3.022,2.8114276,3.022,2.8081286,3.022,2.8083978,3.022,2.799849,3.022,2.7887814,3.022,2.8444724
IZYFUPGDDISSTM-WCRKGUFQSA-N,3.257,2.8141522,3.257,2.8073874,3.257,2.806174,3.257,2.799849,3.257,2.7281702,3.257,2.8309135
XEYWXSKOTZRLQW-XLOAMJJRSA-N,2.495,2.8244212,2.495,2.811517,2.495,2.8035977,2.495,2.7998579,2.495,2.4943738,2.495,2.8236294
IPJHFLGWSCXEQR-MDDFFPLOSA-N,3.358,2.806266,3.358,2.8095326,3.358,2.8106916,3.358,2.799854,3.358,2.7200532,3.358,2.807286
JAQCLNYOESKLGC-JOXMEQDKSA-N,2.86,2.822932,2.86,2.8097403,2.86,2.8057032,2.86,2.7998486,2.86,2.7214298,2.86,2.7956364
OSIFODFRPKWBOL-GZWULBBZSA-N,2.845,2.8218963,2.845,2.8122401,2.845,2.8041468,2.845,2.7998538,2.845,2.6193619,2.845,2.8445551
PDQYHUVJJLYERB-NUGSKGIGSA-N,3.3,2.8211575,3.3,2.812302,3.3,2.800889,3.3,2.7998574,3.3,2.8171737,3.3,2.7883124
HERBNRIQMCVCFQ-RTVWNOGVSA-N,3.322,2.819762,3.322,2.8116984,3.322,2.8014913,3.322,2.799856,3.322,2.6540318,3.322,2.8218265
VTLGQMQTCXHIKI-QTXSSBDSSA-N,3.302,2.8237915,3.302,2.814074,3.302,2.8042653,3.302,2.7998598,3.302,2.5469725,3.302,2.8411853
YEKJXCOOJHPUTF-RSGQVFGASA-N,3.331,2.8302717,3.331,2.816017,3.331,2.8061717,3.331,2.7998571,3.331,2.8425725,3.331,2.836039
GMSWSRRMSYNJQJ-AMXGCLIRSA-N,2.378,2.8207943,2.378,2.813873,2.378,2.8058195,2.378,2.7998552,2.378,2.657427,2.378,2.79155
YHRWTCJWSJUUII-VPMQMFBGSA-N,3.21,2.8180425,3.21,2.810028,3.21,2.809373,3.21,2.7998528,3.21,2.7649927,3.21,2.7675538
IFDPHEYZWSQWRU-KWXLNKDHSA-N,3.083,2.8216045,3.083,2.8144753,3.083,2.8046877,3.083,2.7998557,3.083,2.6560876,3.083,2.7207797
KHVZTNWOLYDOTA-BQIMNVTISA-N,2.981,2.819365,2.981,2.8165512,2.981,2.8065355,2.981,2.7998521,2.981,2.7226174,2.981,2.7369952
WBAGJMQQLCHMFN-RIDPHKLGSA-N,2.308,2.8123024,2.308,2.8107517,2.308,2.8056285,2.308,2.7998524,2.308,2.7262168,2.308,2.8471189
NKLXVOCVCKRZSK-JWTXHPKKSA-N,2.256,2.8258889,2.256,2.8145618,2.256,2.8076992,2.256,2.7998564,2.256,2.6930633,2.256,2.784317
WQYPMTSDZWCMMZ-ARNAAHOPSA-N,2.735,2.8120453,2.735,2.812838,2.735,2.8055933,2.735,2.7998576,2.735,2.7359264,2.735,2.71974
UBEHIHWHLYXTBR-KFCJUPQHSA-N,3.015,2.8090017,3.015,2.8117132,3.015,2.808656,3.015,2.7998538,3.015,2.7773879,3.015,2.6736288
HITPUHOIJDFQCT-MIXUXINWSA-N,2.393,2.8248606,2.393,2.8168077,2.393,2.804701,2.393,2.7998557,2.393,2.7614737,2.393,2.8046768
BQZJLJINJIAECP-FCLYHAKYSA-N,2.966,2.819593,2.966,2.8146317,2.966,2.8054295,2.966,2.7998562,2.966,2.5980444,2.966,2.6850219
HWSXXJWTFXCVTQ-JCNRIBDVSA-N,2.671,2.8193185,2.671,2.8121903,2.671,2.8055022,2.671,2.7998562,2.671,2.7691271,2.671,2.8728309
SMPFWSJHDXMHLO-OPBZITNTSA-N,2.684,2.8151784,2.684,2.8135722,2.684,2.8076596,2.684,2.799852,2.684,2.6825597,2.684,2.823543
KBRQNLOBBOYDTM-QYLRMFNQSA-N,3.603,2.8124502,3.603,2.8140023,3.603,2.8074017,3.603,2.799852,3.603,2.6584094,3.603,2.7190237
FWMOIYQLQMOQSQ-VAGWCPSWSA-N,2.372,2.8152058,2.372,2.8139215,2.372,2.8089044,2.372,2.7998507,2.372,2.806654,2.372,2.7896435
XQLFOKAVNKYMGY-XXPMDTSPSA-N,3.098,2.8244152,3.098,2.8115237,3.098,2.8094702,3.098,2.7998505,3.098,2.8626714,3.098,2.8077848
XXPNRGQQPVZYCO-QEQQSIKZSA-N,2.297,2.8166568,2.297,2.8092287,2.297,2.808228,2.297,2.7998488,2.297,2.7899723,2.297,2.8126256
GSIJJSMEONLIAL-YUNSLTSLSA-N,3.038,2.823954,3.038,2.8130872,3.038,2.8034227,3.038,2.7998657,3.038,2.8381362,3.038,2.7950387
OSUBKXIFHYABMU-RPHGGDOWSA-N,2.765,2.8130703,2.765,2.8083048,2.765,2.8063674,2.765,2.7998478,2.765,2.7519567,2.765,2.8258736
CXYFAIKWOFVIKO-OBUAHGEASA-N,3.698,2.8198535,3.698,2.8132665,3.698,2.8046727,3.698,2.7998543,3.698,2.6489155,3.698,2.7928138
AYKBPUFLXMIVFD-CJVPIAGSSA-N,3.312,2.8224804,3.312,2.8077893,3.312,2.8078747,3.312,2.7998543,3.312,2.64864,3.312,2.8358765
OIMFTUKNQSJCPK-RIDPHKLGSA-N,2.756,2.8318195,2.756,2.8160574,2.756,2.803469,2.756,2.799854,2.756,2.68452,2.756,2.778019
AZDHQRHAELGBNA-TZWHARCVSA-N,2.57,2.8245788,2.57,2.81484,2.57,2.8081768,2.57,2.7998564,2.57,2.7605603,2.57,2.7347553
JZTZEIGYNDGJNR-CDLBOOTPSA-N,2.044,2.815962,2.044,2.812419,2.044,2.8094802,2.044,2.7998457,2.044,2.8695917,2.044,2.7837574
WXTKSWYEBXGATH-HHEMKCRVSA-N,2.766,2.8189533,2.766,2.8100867,2.766,2.8075004,2.766,2.799855,2.766,2.8053823,2.766,2.8215895
HANZPAHSBDSWQE-XJECJHNESA-N,3.37,2.8132093,3.37,2.8058424,3.37,2.8072364,3.37,2.7998486,3.37,2.746265,3.37,2.7807705
UYCAUKGKUJXXKP-KCZYCGJJSA-N,2.426,2.8103964,2.426,2.8146036,2.426,2.8056242,2.426,2.7998533,2.426,2.7130477,2.426,2.8430068
VMGBIYFUFCMXIY-NFINGSNQSA-N,3.268,2.8213713,3.268,2.8148313,3.268,2.8066576,3.268,2.7998579,3.268,2.4817138,3.268,2.7407885
SSYCPOUBJSDYTF-CYXVRHBESA-N,2.752,2.8187764,2.752,2.815945,2.752,2.8086498,2.752,2.799854,2.752,2.6253486,2.752,2.8717978
QAZCSMGEKWJUQU-OCUJFKKWSA-N,2.702,2.8089304,2.702,2.8081791,2.702,2.8072631,2.702,2.7998528,2.702,2.8265364,2.702,2.8119936
IGMXXNIUUJUISV-SPYKILETSA-N,3.122,2.8197258,3.122,2.8148446,3.122,2.8063967,3.122,2.7998562,3.122,2.62044,3.122,2.81984
GUOJZQQEJUWVDI-RRZSMWQNSA-N,2.266,2.8164332,2.266,2.8140855,2.266,2.805042,2.266,2.7998548,2.266,2.8135054,2.266,2.7885876
GRMJMBDRBPXIED-WKXJSGLASA-N,3.298,2.8302603,3.298,2.8129458,3.298,2.80348,3.298,2.7998543,3.298,2.5528083,3.298,2.7915807
IXAVTURHSRIISX-QGODILGESA-N,3.682,2.8204262,3.682,2.815052,3.682,2.8056366,3.682,2.7998557,3.682,2.6955988,3.682,2.7978935
FUMHLLQCFKJKGS-XXGWVHIHSA-N,3.055,2.817886,3.055,2.8139327,3.055,2.8044283,3.055,2.7998614,3.055,2.749928,3.055,2.6922264
COEYBKSYPQMUEW-CATFIOGKSA-N,2.876,2.8173697,2.876,2.8138568,2.876,2.8065782,2.876,2.7998521,2.876,2.6288452,2.876,2.7436578
RAHQAADOYZTWTO-WNWIMRGOSA-N,2.736,2.8142557,2.736,2.8123724,2.736,2.8022332,2.736,2.7998538,2.736,2.7092621,2.736,2.8640413
WXUWUWFQIIJMKF-BUIQBEBSSA-N,2.971,2.822837,2.971,2.8136888,2.971,2.805557,2.971,2.7998548,2.971,2.7634025,2.971,2.7961004
YZSJQWXFYABZEL-ZTWJAVBYSA-N,2.781,2.819804,2.781,2.8065982,2.781,2.8089657,2.781,2.7998497,2.781,2.920825,2.781,2.760997
FABLHBMWFFZKHD-XFDYYPNTSA-N,2.898,2.8267424,2.898,2.8146882,2.898,2.8060317,2.898,2.7998514,2.898,2.6994202,2.898,2.8444164
ZUVZCPYWPHWSSY-NKHVPTTDSA-N,2.441,2.816792,2.441,2.806115,2.441,2.8034897,2.441,2.7998486,2.441,2.7879791,2.441,2.8551676
JCPSDBQCVKATRD-FUSYJALBSA-N,2.767,2.8136218,2.767,2.8110392,2.767,2.8104243,2.767,2.7998488,2.767,2.8396378,2.767,2.7808855
XYNJDCUOCYWRGA-UHIZKJEFSA-N,3.373,2.8159618,3.373,2.807268,3.373,2.8061948,3.373,2.7998457,3.373,2.770621,3.373,2.799077
RSGYEKCBSBMIHT-BXVAPQLOSA-N,3.894,2.8199096,3.894,2.8089592,3.894,2.807704,3.894,2.7998483,3.894,2.7103798,3.894,2.80781
LYEXJMPYTFUZPC-VPUKRXIYSA-N,2.547,2.8212953,2.547,2.813205,2.547,2.805203,2.547,2.799852,2.547,2.6722007,2.547,2.7669468
NQHBIXVOXVGCNN-HPFBHNKESA-N,2.376,2.8169346,2.376,2.8137543,2.376,2.8059537,2.376,2.799856,2.376,2.6870196,2.376,2.7726555
MWGFLWJQAAKKLW-LHRPPZQSSA-N,2.279,2.8211899,2.279,2.8139112,2.279,2.806658,2.279,2.7998555,2.279,2.7473779,2.279,2.7424445
SWGIVLIPJKTYMI-KCZYCGJJSA-N,2.711,2.8195345,2.711,2.8154647,2.711,2.8080554,2.711,2.799852,2.711,2.7447135,2.711,2.8217177
JZYLWOJLBOGWBP-PIJUNFCVSA-N,3.019,2.8283052,3.019,2.8126743,3.019,2.8047872,3.019,2.7998567,3.019,2.3609903,3.019,2.817443
OSOBDDLIXVMYIP-JBZNKQRISA-N,2.501,2.8047907,2.501,2.8078635,2.501,2.8087094,2.501,2.7998455,2.501,2.8084617,2.501,2.737129
YUGLDTAAHCDNFF-GPTJDYLESA-N,2.247,2.812833,2.247,2.8124847,2.247,2.8069804,2.247,2.7998521,2.247,2.7328856,2.247,2.601383
WTFZKZBJHITLOW-UBCJYUTESA-N,3.523,2.8289964,3.523,2.8172624,3.523,2.7992284,3.523,2.799852,3.523,2.570604,3.523,2.841923
QEAZXWJYAFZFAJ-IZZKMKHWSA-N,3.088,2.8234234,3.088,2.8072345,3.088,2.8064535,3.088,2.7998536,3.088,2.690524,3.088,2.7967603
DAYDQSHOHKMCQA-IDVLLXKWSA-N,3.336,2.811315,3.336,2.8153389,3.336,2.808459,3.336,2.7998533,3.336,2.7497687,3.336,2.7812448
MCCDCZWXFIFAGZ-MYKKPKGFSA-N,2.66,2.821954,2.66,2.814701,2.66,2.8070931,2.66,2.7998512,2.66,2.7610197,2.66,2.6514895
VJBGWNNNCGBXHF-DCVDQKDESA-N,3.328,2.815629,3.328,2.813465,3.328,2.8049793,3.328,2.7998526,3.328,2.76965,3.328,2.8130858
YOUJTOXZDFSSFS-FJKLEHLJSA-N,2.432,2.8148715,2.432,2.8122976,2.432,2.8026183,2.432,2.7998552,2.432,2.7311444,2.432,2.850975
ROLJDGYJZHFHHF-PORAZQCPSA-N,2.279,2.8213367,2.279,2.8103566,2.279,2.8108327,2.279,2.7998474,2.279,2.7849092,2.279,2.7342734
SLQSIRQUZGRFTP-BTQMLEONSA-N,3.201,2.8128946,3.201,2.8127463,3.201,2.8089702,3.201,2.799855,3.201,2.7416124,3.201,2.781544
JIFPKELWLUPOOV-YLJBBNASSA-N,3.341,2.8123255,3.341,2.8075237,3.341,2.8078928,3.341,2.7998528,3.341,2.8049572,3.341,2.8520687
DLIZVUBKOWODDZ-CLXSKVFGSA-N,2.923,2.8217423,2.923,2.8147798,2.923,2.8063927,2.923,2.7998562,2.923,2.6265364,2.923,2.8218174
XNCTUKBTDJNHBA-BLRRXWCLSA-N,2.726,2.8082592,2.726,2.8099723,2.726,2.8066294,2.726,2.799853,2.726,2.6840715,2.726,2.881954
ACCRDQZBFIIAHI-DNUOSIPQSA-N,2.789,2.8253877,2.789,2.812463,2.789,2.8088198,2.789,2.7998533,2.789,2.714644,2.789,2.8168175
BQNHZWPUTBOTFF-QKGGVJACSA-N,3.185,2.821212,3.185,2.8076026,3.185,2.805564,3.185,2.7998507,3.185,2.7508388,3.185,2.8347266
NHPOGTVHWBKHKC-HWIUFGAZSA-N,2.812,2.821608,2.812,2.8135352,2.812,2.8066132,2.812,2.799856,2.812,2.4457242,2.812,2.7992527
USWVRVNKBOFWPR-IYGLTMQKSA-N,2.304,2.832308,2.304,2.818148,2.304,2.8063989,2.304,2.7998571,2.304,2.351663,2.304,2.7544382
ZFCQBZPNDPFZQB-JWYYNRSLSA-N,3.306,2.8193846,3.306,2.8162704,3.306,2.8038335,3.306,2.7998533,3.306,2.7699296,3.306,2.779027
VFIDPKNTHWYXNT-IGDVSTMMSA-N,2.699,2.8240635,2.699,2.8148308,2.699,2.8059962,2.699,2.7998514,2.699,2.4970293,2.699,2.6796286
DNSFJYUGSRXRQD-HEFGREBNSA-N,3.077,2.8149185,3.077,2.8116505,3.077,2.806835,3.077,2.7998538,3.077,2.7587044,3.077,2.7014167
ZUVVHBNXCFAGRL-KVLYFZCPSA-N,3.815,2.823946,3.815,2.8135662,3.815,2.8064725,3.815,2.7998557,3.815,2.772153,3.815,2.835519
KXKKFJRPINBYGL-OSZMAOKFSA-N,3.093,2.8095648,3.093,2.812944,3.093,2.8085346,3.093,2.7998502,3.093,2.826492,3.093,2.80352
MZHNUSKYMQZBJP-LPEPFOFCSA-N,2.074,2.8246403,2.074,2.8135173,2.074,2.8028617,2.074,2.7998524,2.074,2.6893225,2.074,2.8449302
NTWVNNJQYLLEDG-FIIZHFTISA-N,2.889,2.8103714,2.889,2.8133807,2.889,2.8080873,2.889,2.7998521,2.889,2.7534359,2.889,2.7937913
AXYNRJKBEWICMP-UHIZKJEFSA-N,2.047,2.8284752,2.047,2.8127735,2.047,2.803294,2.047,2.7998528,2.047,2.6711304,2.047,2.7512832
KZVARBNZTKLDMK-QYXAQCCZSA-N,2.815,2.8323965,2.815,2.8159237,2.815,2.8062258,2.815,2.7998521,2.815,2.7345178,2.815,2.7637765
TUHJQKWRLAACRV-LEXORQHVSA-N,3.131,2.82636,3.131,2.8111117,3.131,2.80493,3.131,2.7998548,3.131,2.809108,3.131,2.8690364
PENFRIANGMRRAY-QBAXTBGHSA-N,3.314,2.8111506,3.314,2.809479,3.314,2.8104281,3.314,2.7998521,3.314,2.6799517,3.314,2.8077118
XMOUGJUJKKAQJV-CHVBVBDWSA-N,2.295,2.8079994,2.295,2.810228,2.295,2.8101883,2.295,2.79985,2.295,2.743765,2.295,2.8110752
ZUIDYCZLNDWIBC-RLLLZWGVSA-N,2.865,2.8128211,2.865,2.8149796,2.865,2.8083415,2.865,2.799853,2.865,2.6318455,2.865,2.8194785
DRWMCPFKPDSPNW-WYADKLPOSA-N,2.572,2.8264306,2.572,2.8151264,2.572,2.803914,2.572,2.7998574,2.572,2.6023161,2.572,2.6997874
YHBBQQHTXDJBEM-DQGTYSGISA-N,3.209,2.8168912,3.209,2.8135464,3.209,2.8071783,3.209,2.7998533,3.209,2.7328587,3.209,2.80529
KGSPDSHHXGITEX-CRQGAUBTSA-N,3.315,2.82707,3.315,2.81231,3.315,2.805649,3.315,2.799853,3.315,2.5289133,3.315,2.8349042
NQGPVWITLBFHFM-DXPGWTOOSA-N,3.377,2.8270938,3.377,2.8154566,3.377,2.8066008,3.377,2.799851,3.377,2.6673672,3.377,2.7548897
MLVNRDKDIPRBFJ-VUDMDERNSA-N,2.595,2.8219488,2.595,2.8139975,2.595,2.8073976,2.595,2.799854,2.595,2.5407221,2.595,2.6865077
KSSXWLLGXJTUAJ-UWPMGRJOSA-N,2.723,2.8246744,2.723,2.8130023,2.723,2.8055723,2.723,2.7998562,2.723,2.8079379,2.723,2.863563
AJRPBOGAZLONON-QBJUQDFFSA-N,2.914,2.8129292,2.914,2.8149107,2.914,2.8077655,2.914,2.799852,2.914,2.7806888,2.914,2.7993608
WEFPLYWNLOHNGP-CAQPMQTCSA-N,2.319,2.8103755,2.319,2.805913,2.319,2.8055243,2.319,2.7998471,2.319,2.780333,2.319,2.8089337
KWNJVWUJPGZBFJ-WCRKGUFQSA-N,2.745,2.8132427,2.745,2.8129485,2.745,2.806222,2.745,2.7998526,2.745,2.7949326,2.745,2.765969
AMCFLQBFQAFOJC-WSYSVADWSA-N,3.39,2.8199303,3.39,2.8122494,3.39,2.8032281,3.39,2.7998571,3.39,2.6395705,3.39,2.815858
IJKHHHXZIVWNRT-NAOWBXPRSA-N,2.709,2.8266065,2.709,2.8148258,2.709,2.8030088,2.709,2.7998557,2.709,2.6615775,2.709,2.7731
INLKBIGEPCUYQX-MDCVPAOJSA-N,3.165,2.8118002,3.165,2.8050911,3.165,2.807739,3.165,2.7998483,3.165,2.8119307,3.165,2.8179502
YPDXIVWOYKUEIE-IIGSAFOFSA-N,2.693,2.8289156,2.693,2.8153207,2.693,2.8047776,2.693,2.7998612,2.693,2.5457637,2.693,2.5524554
OBTNEVOXQORKNP-WMQMDMPKSA-N,2.195,2.8187659,2.195,2.813908,2.195,2.8098266,2.195,2.799854,2.195,2.638212,2.195,2.811962
LXIZSBASEKRZOF-OMHNPSHLSA-N,3.355,2.8292885,3.355,2.8151522,3.355,2.8050313,3.355,2.7998557,3.355,2.8972466,3.355,2.9545934
PKXXTNXNEQSLSJ-GLJXUZQSSA-N,2.764,2.809727,2.764,2.8103168,2.764,2.8086362,2.764,2.79985,2.764,2.7137947,2.764,2.7530012
FBLNTOGGUXUUGS-POHGQRKGSA-N,2.874,2.8153129,2.874,2.8112614,2.874,2.8073463,2.874,2.7998483,2.874,2.839811,2.874,2.7995245
QZRDVDZTTCAXOG-XICOUIIWSA-N,2.305,2.8048143,2.305,2.8114395,2.305,2.8099,2.305,2.7998576,2.305,2.768963,2.305,2.847758
ARSKTHVGVLDBPJ-IUNVFZGISA-N,2.497,2.8209202,2.497,2.8157995,2.497,2.8056047,2.497,2.7998564,2.497,2.6710825,2.497,2.8688998
UVRILMACLVNHIR-DWSGMXGXSA-N,3.029,2.8044984,3.029,2.8095684,3.029,2.808141,3.029,2.7998517,3.029,2.6551385,3.029,2.8347423
VDMWCFDLLLUKLG-SLGKFDTCSA-N,3.028,2.8232887,3.028,2.8131135,3.028,2.805061,3.028,2.7998543,3.028,2.7983377,3.028,2.7133756
XILSFRCFGISSCP-QIDKKRRLSA-N,2.534,2.8199294,2.534,2.8145776,2.534,2.8063464,2.534,2.7998555,2.534,2.7560327,2.534,2.8994095
IBHAHOIXSXRKQF-CHSRVYTFSA-N,2.75,2.8242333,2.75,2.813635,2.75,2.8051102,2.75,2.7998536,2.75,2.8768134,2.75,2.833935
KEGSEVKJDQYLHK-GTHQUBRQSA-N,2.828,2.815896,2.828,2.8100834,2.828,2.808588,2.828,2.7998476,2.828,2.7901776,2.828,2.7996774
QXOBDDVIKIKSAK-LRIZEKIPSA-N,2.984,2.8149831,2.984,2.808104,2.984,2.8083446,2.984,2.799848,2.984,2.8330832,2.984,2.7570782
DEMZZWWYNBPPMQ-WMILAWAJSA-N,3.306,2.8134916,3.306,2.814164,3.306,2.805139,3.306,2.7998533,3.306,2.6765876,3.306,2.821167
ZGFYVVRZQIENHD-UTXUFXGVSA-N,3.222,2.8214293,3.222,2.8143952,3.222,2.807576,3.222,2.7998521,3.222,2.6901965,3.222,2.707202
LSVYHTLTAOIIOI-UAZYWCDCSA-N,2.911,2.8009496,2.911,2.8064015,2.911,2.8109841,2.911,2.7998514,2.911,2.824595,2.911,2.7397933
KMJUFOYUCKGRSY-FIBXFRIOSA-N,2.15,2.8216991,2.15,2.8141966,2.15,2.8031332,2.15,2.7998552,2.15,2.7678432,2.15,2.748695
DYJBHDNLABUZEG-MWBNBJEGSA-N,3.314,2.8274448,3.314,2.8141046,3.314,2.8063009,3.314,2.7998505,3.314,2.7311516,3.314,2.7938836
LFKDHOBGRBIRNL-QLQYKETESA-N,2.435,2.813675,2.435,2.8047733,2.435,2.8095047,2.435,2.7998466,2.435,2.7641897,2.435,2.6372657
DKXIAJOKSFIFDW-JOOBRSBMSA-N,2.659,2.8152916,2.659,2.8126528,2.659,2.8031206,2.659,2.799857,2.659,2.448446,2.659,2.7990997
